"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Paul Pogba","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Rate team performance?","Rate final result?","Rate Ole Gunnar Solskjaer","Rate opponent - Wolves (only by this performance)","Did the referee do a good job? (optional)"
"2019/08/20 10:54:41 PM GMT+1","7","7","8","8","8","6","7","7","5","7","7","6","7","7","9","No"
"2019/08/20 11:07:08 PM GMT+1","7","6","6","6","8","7","5","8","4","4","8","7","5","5","7","No"
"2019/08/20 11:09:37 PM GMT+1","8","7","9","6","9","7","5","6","5","7","8","7","4","6","8","Yes"
"2019/08/20 11:10:56 PM GMT+1","5","3","6","7","9","8","4","7","2","4","8","7","3","2","6","No"
"2019/08/20 11:11:24 PM GMT+1","7","6","8","7","8","5","7","6","4","4","7","7","7","6","5",""
"2019/08/20 11:13:47 PM GMT+1","6","7","7","7","7","7","7","7","6","6","8","7","5","6","7","No"
"2019/08/20 11:22:02 PM GMT+1","7","7","8","6","9","9","7","8","5","5","8","8","6","7","4","No"
"2019/08/20 11:23:44 PM GMT+1","7","6","7","7","8","7","6","6","3","6","7","7","4","4","8",""
"2019/08/20 11:23:59 PM GMT+1","7","6","9","9","10","7","8","8","5","6","8","7","4","9","8","No"
"2019/08/20 11:26:19 PM GMT+1","7","6","6","7","8","5","5","7","4","4","8","7","5","6","5","No"
"2019/08/20 11:26:27 PM GMT+1","7","8","7","6","9","8","7","8","7","6","9","7","5","7","4","No"
"2019/08/20 11:34:20 PM GMT+1","9","6","8","7","9","8","7","8","6","7","9","7","5","7","7","No"
"2019/08/20 11:51:06 PM GMT+1","7","5","9","7","10","8","5","7","6","5","8","7","5","6","5","No"
"2019/08/20 11:53:16 PM GMT+1","8","7","9","8","9","8","6","7","6","6","7","8","8","8","7","No"
"2019/08/20 11:58:32 PM GMT+1","6","6","7","7","8","6","5","6","5","6","7","7","5","7","6","No"
"2019/08/21 12:01:03 AM GMT+1","7","6","7","7","8","7","6","6","7","6","8","7","6","6","6",""
"2019/08/21 12:01:43 AM GMT+1","7","6","8","6","8","6","6","7","6","6","8","7","6","7","7","No"
"2019/08/21 12:02:32 AM GMT+1","7","7","8","9","9","7","7","6","5","6","8","8","7","6","8","No"
"2019/08/21 12:09:46 AM GMT+1","7","7","8","7","8","6","6","8","5","5","9","7","5","7","4","No"
"2019/08/21 12:21:50 AM GMT+1","8","8","7","6","9","8","7","7","4","6","8","7","5","6","8","No"
"2019/08/21 12:27:05 AM GMT+1","7","7","7","7","7","6","7","7","5","6","8","6","8","7","8","Yes"
"2019/08/21 12:30:33 AM GMT+1","9","7","8","8","9","8","7","7","5","6","8","8","7","7","8","No"
"2019/08/21 12:32:56 AM GMT+1","7","8","8","8","9","7","7","7","7","8","9","8","5","10","8","No"
"2019/08/21 12:32:59 AM GMT+1","7","6","8","7","10","7","6","6","5","6","8","9","6","7","5","No"
"2019/08/21 12:33:02 AM GMT+1","7","7","9","9","10","8","7","8","7","7","10","7","4","7","7","No"
"2019/08/21 12:39:07 AM GMT+1","7","7","7","6","8","8","6","9","6","7","9","8","8","7","9","No"
"2019/08/21 12:45:34 AM GMT+1","9","6","8","8","10","9","7","9","8","7","8","7","6","6","7","No"
"2019/08/21 12:49:20 AM GMT+1","6","6","6","6","9","6","6","6","5","5","7","7","5","5","6","No"
"2019/08/21 12:58:09 AM GMT+1","5","5","7","6","7","6","4","6","5","5","7","6","4","5","3","No"
"2019/08/21 12:59:54 AM GMT+1","8","7","8","8","8","7","7","7","6","7","8","7","6","9","8","No"
"2019/08/21 1:01:11 AM GMT+1","5","6","5","4","8","6","3","5","3","4","7","7","5","5","4","No"
"2019/08/21 1:03:40 AM GMT+1","7","9","7","7","9","8","5","7","3","5","9","8","4","6","8","No"
"2019/08/21 1:06:27 AM GMT+1","9","8","9","9","10","8","7","8","7","7","8","8","5","7","8","No"
"2019/08/21 1:07:48 AM GMT+1","7","7","7","7","8","7","7","7","8","7","8","7","6","7","6","No"
"2019/08/21 1:10:44 AM GMT+1","7","7","8","8","9","6","5","7","5","7","7","6","5","4","6","No"
"2019/08/21 1:25:03 AM GMT+1","5","7","7","8","8","7","7","7","7","6","9","7","6","7","6","No"
"2019/08/21 1:30:47 AM GMT+1","6","7","7","7","8","7","7","7","6","6","7","7","6","6","6","No"
"2019/08/21 1:32:40 AM GMT+1","7","9","8","8","10","8","7","7","4","7","8","7","4","10","10","No"
"2019/08/21 1:40:01 AM GMT+1","6","6","7","7","8","6","5","7","1","7","8","7","5","4","7","Yes"
"2019/08/21 2:03:51 AM GMT+1","6","6","7","7","8","7","5","5","4","6","7","6","5","7","7","No"
"2019/08/21 2:05:46 AM GMT+1","7","7","8","7","8","8","4","8","6","7","8","8","1","3","9","No"
"2019/08/21 2:08:39 AM GMT+1","8","6","8","8","9","8","6","8","6","7","9","8","2","6","6","No"
"2019/08/21 2:11:30 AM GMT+1","10","6","8","8","9","5","5","6","6","7","7","7","1","7","5","No"
"2019/08/21 2:26:46 AM GMT+1","7","6","8","8","9","7","6","6","5","6","8","7","6","7","7","No"
"2019/08/21 2:32:33 AM GMT+1","8","6","8","7","9","7","7","7","4","6","8","7","6","6","8","No"
"2019/08/21 2:37:42 AM GMT+1","7","7","8","8","8","7","8","8","7","8","8","8","7","7","6","No"
"2019/08/21 2:39:37 AM GMT+1","8","6","8","8","9","7","5","8","6","3","9","7","6","2","6","No"
"2019/08/21 2:46:24 AM GMT+1","6","4","6","6","10","6","5","6","5","5","9","7","6","4","7","No"
"2019/08/21 3:06:09 AM GMT+1","9","5","7","7","8","7","6","6","4","8","9","7","7","6","7","No"
"2019/08/21 3:11:06 AM GMT+1","5","1","6","5","7","1","3","1","1","2","2","1","1","1","2","No"
"2019/08/21 3:13:54 AM GMT+1","6","6","7","7","7","7","6","7","5","5","7","6","5","5","6","No"
"2019/08/21 3:14:05 AM GMT+1","5","4","7","7","7","5","4","4","2","3","7","6","1","10","7","No"
"2019/08/21 3:26:11 AM GMT+1","7","6","7","7","8","7","6","6","7","5","8","6","6","7","9","No"
"2019/08/21 3:32:31 AM GMT+1","7","6","8","8","8","6","6","7","7","6","8","8","7","7","6","No"
"2019/08/21 3:37:55 AM GMT+1","8","6","8","8","8","7","7","7","6","6","8","7","7","9","8","Yes"
"2019/08/21 3:51:38 AM GMT+1","8","5","8","7","9","8","7","7","4","7","8","7","5","4","7","Yes"
"2019/08/21 3:54:45 AM GMT+1","10","8","10","10","10","7","8","9","3","6","10","8","7","6","8","No"
"2019/08/21 4:05:05 AM GMT+1","7","6","7","7","8","7","6","7","5","6","8","7","6","7","6","No"
"2019/08/21 4:09:26 AM GMT+1","6","5","6","6","7","5","5","7","4","7","8","6","6","6","8","No"
"2019/08/21 4:15:00 AM GMT+1","8","6","8","8","10","7","7","7","2","6","8","6","6","6","6","No"
"2019/08/21 4:18:16 AM GMT+1","7","6","6","6","9","7","6","7","4","5","7","6","5","4","6","No"
"2019/08/21 4:19:13 AM GMT+1","8","8","9","8","9","9","7","8","7","8","8","8","7","8","9","Yes"
"2019/08/21 4:23:58 AM GMT+1","6","7","7","7","10","6","6","7","4","5","8","6","3","8","7","Yes"
"2019/08/21 4:27:34 AM GMT+1","5","6","8","8","9","6","5","5","5","4","8","6","3","4","7","No"
"2019/08/21 4:37:26 AM GMT+1","6","5","8","8","9","8","7","6","5","6","7","7","5","6","6","No"
