"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 8:05:22 PM GMT+1","8","8","9","8","9","10","6","8","8","7","8","9","8","7","7","8","6","Yes"
"2019/09/15 8:05:39 PM GMT+1","7","5","8","6","8","8","5","5","4","4","6","","","6","10","7","4","Yes"
"2019/09/15 8:05:54 PM GMT+1","8","6","8","8","8","8","6","7","6","7","8","7","7","7","9","9","6","Yes"
"2019/09/15 8:06:00 PM GMT+1","8","7","8","6","7","8","5","7","6","6","7","7","6","6","7","6","5","Yes"
"2019/09/15 8:06:07 PM GMT+1","9","7","10","8","9","10","7","6","5","6","7","8","8","7","10","10","7","Yes"
"2019/09/15 8:06:29 PM GMT+1","7","7","7","6","7","8","5","6","4","6","4","5","6","6","8","7","5","Yes"
"2019/09/15 8:06:35 PM GMT+1","7","7","8","7","7","8","6","6","6","6","6","6","6","6","10","6","5","Yes"
"2019/09/15 8:06:50 PM GMT+1","8","7","8","7","8","9","6","7","6","7","8","8","8","7","9","8","7","Yes"
"2019/09/15 8:06:54 PM GMT+1","7","7","8","7","8","6","6","7","6","6","7","6","6","7","7","7","7","Yes"
"2019/09/15 8:07:49 PM GMT+1","7","6","9","8","10","10","6","7","7","6","7","7","7","5","6","7","5","Yes"
"2019/09/15 8:08:17 PM GMT+1","7","7","8","8","6","8","6","4","3","6","6","7","","6","8","9","3","Yes"
"2019/09/15 8:09:06 PM GMT+1","8","7","7","6","7","8","6","6","5","4","5","6","6","7","7","8","6","Yes"
"2019/09/15 8:09:08 PM GMT+1","8","8","9","6","8","9","5","7","5","6","7","7","7","7","7","9","5","Yes"
"2019/09/15 8:09:35 PM GMT+1","8","6","10","8","8","10","7","7","8","8","7","7","","7","8","8","8","Yes"
"2019/09/15 8:09:50 PM GMT+1","7","9","8","8","7","9","6","6","6","5","5","7","7","6","10","7","5","Yes"
"2019/09/15 8:09:57 PM GMT+1","7","7","8","8","8","9","6","6","6","6","7","","","7","10","9","6","Yes"
"2019/09/15 8:10:21 PM GMT+1","6","6","7","6","6","7","5","5","5","5","5","","","7","7","5","5",""
"2019/09/15 8:10:29 PM GMT+1","7","8","7","7","7","8","5","6","3","5","3","","","6","7","5","3","Yes"
"2019/09/15 8:10:35 PM GMT+1","6","5","7","6","6","7","5","6","5","5","6","6","7","5","8","7","6","No"
"2019/09/15 8:11:05 PM GMT+1","7","8","8","7","8","8","6","6","6","6","6","7","7","7","8","8","5","Yes"
"2019/09/15 8:11:05 PM GMT+1","8","7","9","7","8","8","6","7","6","7","7","8","8","7","9","9","7","Yes"
"2019/09/15 8:11:19 PM GMT+1","8","8","8","6","7","8","6","7","7","7","7","","","7","9","7","5","Yes"
"2019/09/15 8:12:02 PM GMT+1","7","7","7","7","7","7","5","6","4","3","5","5","6","5","6","6","5","Yes"
"2019/09/15 8:12:15 PM GMT+1","9","8","9","9","9","10","7","7","7","7","7","8","8","6","7","7","6","Yes"
"2019/09/15 8:12:16 PM GMT+1","8","6","7","7","8","8","5","7","6","5","6","7","7","7","7","8","6","Yes"
"2019/09/15 8:12:44 PM GMT+1","7","7","7","6","6","6","4","5","2","4","4","5","5","6","9","7","3","Yes"
"2019/09/15 8:13:42 PM GMT+1","8","6","8","7","8","7","7","7","6","7","6","7","6","7","10","7","4","Yes"
"2019/09/15 8:14:08 PM GMT+1","8","7","8","7","8","8","7","8","7","7","8","","","7","7","7","6","Yes"
"2019/09/15 8:15:25 PM GMT+1","7","6","7","7","6","7","6","7","6","5","6","6","6","7","7","7","6","Yes"
"2019/09/15 8:15:30 PM GMT+1","8","7","8","6","7","8","5","6","5","5","6","7","","5","6","7","4","No"
"2019/09/15 8:15:42 PM GMT+1","10","8","9","9","10","10","7","10","7","7","10","7","9","9","6","10","5","Yes"
"2019/09/15 8:16:27 PM GMT+1","9","7","9","9","7","10","7","7","6","7","8","6","7","8","9","7","6","Yes"
"2019/09/15 8:16:40 PM GMT+1","8","8","8","8","8","9","7","7","7","7","8","","","9","10","8","5","Yes"
"2019/09/15 8:16:43 PM GMT+1","7","7","8","7","7","8","5","6","5","6","6","6","6","7","6","7","6","Yes"
"2019/09/15 8:17:19 PM GMT+1","8","6","8","7","7","7","6","7","6","6","6","6","6","7","10","8","6","Yes"
"2019/09/15 8:17:26 PM GMT+1","7","5","8","7","8","7","3","6","4","5","5","6","5","6","8","6","4","Yes"
"2019/09/15 8:18:33 PM GMT+1","8","7","8","7","8","8","7","6","6","4","7","7","","6","7","6","3","Yes"
"2019/09/15 8:18:47 PM GMT+1","8","7","9","6","8","7","4","7","3","5","6","6","6","6","10","7","3","Yes"
"2019/09/15 8:18:48 PM GMT+1","7","5","7","6","6","5","6","6","5","6","5","6","5","5","7","6","7","Yes"
"2019/09/15 8:19:00 PM GMT+1","8","7","7","6","7","8","5","7","5","6","6","7","7","6","5","6","8","Yes"
"2019/09/15 8:19:13 PM GMT+1","6","7","8","8","7","8","5","6","6","7","7","6","3","7","7","8","5","Yes"
"2019/09/15 8:20:56 PM GMT+1","8","7","8","7","8","10","5","7","6","6","6","6","6","6","5","5","4","No"
"2019/09/15 8:21:02 PM GMT+1","7","6","6","5","7","8","6","7","5","4","5","","","7","4","5","5","No"
"2019/09/15 8:21:47 PM GMT+1","7","7","7","7","7","8","6","6","5","5","5","6","6","6","6","5","6","Yes"
"2019/09/15 8:21:52 PM GMT+1","7","7","8","9","8","9","6","7","6","6","7","7","7","7","8","7","6","Yes"
"2019/09/15 8:22:25 PM GMT+1","8","7","7","8","8","7","6","6","6","6","6","7","","6","8","7","3","Yes"
"2019/09/15 8:22:35 PM GMT+1","8","7","9","8","8","9","7","7","5","6","7","8","8","7","5","7","4","Yes"
"2019/09/15 8:22:39 PM GMT+1","8","7","9","8","8","9","5","6","4","6","7","8","6","8","8","7","6","Yes"
"2019/09/15 8:22:39 PM GMT+1","6","7","8","8","8","8","5","7","6","5","5","5","7","7","10","7","4","Yes"
