"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 9:38:20 PM GMT+2","9","7","8","8","8","6","8","7","9","5","9","7","8","7","10","8","6","Yes"
"2020/07/17 9:38:36 PM GMT+2","8","7","7","7","7","6","7","7","8","6","8","6","7","5","8","6","6","No"
"2020/07/17 9:38:48 PM GMT+2","9","7","8","7","7","6","6","7","9","5","8","6","6","6","7","8","7","Yes"
"2020/07/17 9:39:37 PM GMT+2","8","7","8","8","7","6","8","7","8","6","8","6","7","7","8","7","5","No"
"2020/07/17 9:41:33 PM GMT+2","10","5","9","9","9","9","9","9","10","6","10","9","9","10","10","10","10","Yes"
"2020/07/17 9:42:14 PM GMT+2","9","6","9","7","8","6","7","6","9","6","9","7","7","8","8","9","6","No"
"2020/07/17 9:43:27 PM GMT+2","7","7","8","5","7","6","6","6","8","5","8","7","7","7","8","8","5","Yes"
"2020/07/17 9:43:55 PM GMT+2","9","8","8","8","7","7","6","8","10","6","10","7","7","7","8","8","9","No"
"2020/07/17 9:47:17 PM GMT+2","10","6","8","8","7","7","8","8","9","6","9","6","7","7","10","8","7","Yes"
"2020/07/17 9:48:46 PM GMT+2","8","6","7","6","6","5","6","6","8","5","8","6","7","5","7","6","6","No"
"2020/07/17 9:48:52 PM GMT+2","10","8","9","9","7","5","6","7","10","5","10","6","8","7","10","10","9","No"
"2020/07/17 9:49:03 PM GMT+2","8","6","8","7","5","5","5","6","8","3","8","6","6","6","7","7","5","Yes"
"2020/07/17 9:49:24 PM GMT+2","8","6","5","6","6","5","6","7","9","5","9","6","7","6","8","6","8","Yes"
"2020/07/17 9:49:57 PM GMT+2","10","7","8","8","7","7","7","8","10","6","10","8","7","7","10","7","7","Yes"
"2020/07/17 9:52:03 PM GMT+2","9","7","5","7","6","5","8","7","10","5","10","6","8","7","10","8","4","Yes"
"2020/07/17 9:53:13 PM GMT+2","8","6","7","7","6","6","6","6","9","6","8","6","7","7","7","7","5","Yes"
"2020/07/17 9:53:45 PM GMT+2","8","6","9","5","3","4","6","6","8","6","9","7","7","5","10","3","6","No"
"2020/07/17 9:56:11 PM GMT+2","9","6","5","7","6","6","6","7","8","6","8","6","6","5","8","7","7","No"
"2020/07/17 9:56:33 PM GMT+2","8","7","5","5","5","5","5","4","7","4","7","6","6","5","7","7","6","Yes"
"2020/07/17 10:01:39 PM GMT+2","9","6","8","8","8","7","7","7","9","5","9","7","8","7","8","8","6","Yes"
"2020/07/17 10:02:07 PM GMT+2","7","7","8","8","6","6","7","7","9","5","8","6","7","6","7","7","6","No"
"2020/07/17 10:02:39 PM GMT+2","8","6","7","6","6","5","4","7","9","5","10","6","7","7","9","7","6","Yes"
"2020/07/17 10:03:39 PM GMT+2","10","7","8","8","9","7","7","6","10","7","10","6","8","7","10","7","9","No"
