"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 2:55:42 PM GMT+1","4","6","4","4","6","3","4","4","2","4","2","3","6","1","1","2","4","Yes"
"2019/09/23 2:55:54 PM GMT+1","5","4","4","4","6","3","2","4","4","5","3","","5","3","2","4","7","Yes"
"2019/09/23 2:56:39 PM GMT+1","6","7","6","6","7","7","5","5","5","7","5","","","3","3","5","9","Yes"
"2019/09/23 2:58:11 PM GMT+1","5","4","7","4","6","6","4","5","4","5","4","6","7","5","2","4","7",""
"2019/09/23 2:58:11 PM GMT+1","5","5","5","5","7","5","5","4","4","5","4","3","3","1","1","3","3","Yes"
"2019/09/23 2:58:18 PM GMT+1","6","5","6","4","6","6","4","5","5","6","3","","","4","2","3","6","Yes"
"2019/09/23 2:58:31 PM GMT+1","7","5","7","6","9","6","3","2","3","5","4","4","4","3","5","3","6","Yes"
"2019/09/23 2:58:54 PM GMT+1","7","5","5","4","7","6","5","4","4","6","6","5","","4","1","4","7","Yes"
"2019/09/23 3:00:00 PM GMT+1","5","6","6","5","6","6","4","4","4","6","5","","","5","4","6","8","Yes"
"2019/09/23 3:01:41 PM GMT+1","3","3","3","3","3","3","2","2","2","3","2","2","2","2","2","2","4","Yes"
"2019/09/23 3:03:21 PM GMT+1","5","5","5","5","6","6","4","3","4","4","4","4","6","3","2","4","7","Yes"
"2019/09/23 3:04:09 PM GMT+1","5","4","5","3","6","5","4","1","2","6","4","1","4","3","3","4","6","Yes"
"2019/09/23 3:05:03 PM GMT+1","8","6","7","6","7","7","6","6","4","7","5","5","7","3","1","5","6","Yes"
"2019/09/23 3:05:32 PM GMT+1","6","5","5","6","7","5","4","4","3","5","3","4","5","4","3","4","5","Yes"
"2019/09/23 3:06:20 PM GMT+1","6","5","5","5","6","6","6","6","4","6","4","5","6","3","1","4","4","Yes"
"2019/09/23 3:06:29 PM GMT+1","6","5","6","6","9","7","6","5","2","6","5","7","3","1","1","1","8","Yes"
"2019/09/23 3:07:02 PM GMT+1","5","4","6","4","7","7","6","6","3","6","2","3","3","2","1","5","6","Yes"
"2019/09/23 3:08:22 PM GMT+1","5","5","5","5","7","6","5","4","3","4","3","4","4","3","2","4","3","Yes"
"2019/09/23 3:09:19 PM GMT+1","7","7","7","6","8","7","5","6","5","6","3","1","6","2","8","7","7","Yes"
