"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 1:46:01 PM GMT+2","7","7","4","3","4","4","9","8","9","8","10","8","9","10","6","8","6","5","No","Saw the post"
"2020/07/13 1:46:54 PM GMT+2","8","9","9","7","9","8","9","8","9","9","9","7","6","7","10","10","10","6","No","Saw the post"
"2020/07/13 1:47:48 PM GMT+2","7","8","8","8","8","8","9","8","9","8","10","7","7","7","9","10","10","7","No","Saw the post"
"2020/07/13 1:47:50 PM GMT+2","5","7","6","6","6","6","7","7","8","7","7","","","","6","9","7","5","No","Saw the post"
"2020/07/13 1:48:33 PM GMT+2","7","8","7","8","8","8","10","7","9","8","9","7","7","7","7","9","9","4","No","Saw the post"
"2020/07/13 1:48:54 PM GMT+2","6","8","7","7","7","7","9","9","8","7","9","7","6","6","7","10","7","4","Yes","Saw the post"
"2020/07/13 1:51:00 PM GMT+2","6","6","6","6","6","6","6","8","7","6","7","6","6","6","7","9","8","6","No","Saw the post"
"2020/07/13 1:51:35 PM GMT+2","7","7","7","8","7","7","9","8","8","7","9","","","","8","8","10","4","No","Saw the post"
"2020/07/13 1:52:10 PM GMT+2","8","7","8","8","9","9","9","8","8","7","10","7","7","8","9","10","10","3","No","Saw the post"
"2020/07/13 1:53:28 PM GMT+2","6","8","7","6","6","7","9","7","9","6","7","7","6","7","8","9","9","3","Yes","Saw the post"
"2020/07/13 1:54:39 PM GMT+2","7","7","6","6","7","8","8","7","6","7","10","6","6","7","7","8","7","6","No","Saw the post"
"2020/07/13 1:54:59 PM GMT+2","9","9","7","8","9","8","9","10","7","8","10","","7","8","9","10","9","5","Yes","Saw the post"
"2020/07/13 1:57:48 PM GMT+2","7","8","7","7","7","8","9","8","8","7","9","6","6","6","8","8","8","3","No","Saw the post"
"2020/07/13 2:00:12 PM GMT+2","7","8","7","7","6","7","9","8","8","7","10","6","6","6","8","10","10","7","No","Saw the post"
"2020/07/13 2:00:33 PM GMT+2","7","8","7","7","7","7","8","8","8","8","8","7","7","7","8","9","9","6","No","Saw the post"
"2020/07/13 2:00:41 PM GMT+2","7","7","5","7","7","8","8","9","8","7","10","6","6","7","8","10","10","6","No","Saw the post"
"2020/07/13 2:01:16 PM GMT+2","7","8","6","7","7","6","8","8","7","7","8","5","5","6","8","8","8","4","No","Saw the post"
