"Timestamp","De Gea","Maguire","Lindelof","Shaw","Williams","Wan-Bissaka","Matic","Fred","Bruno","Martial","James","Bailly (optional)","McTominay (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Man City","Did the ref do a good job?"
"2020/03/10 12:17:10 AM GMT+2","8","8","7","8","6","9","8","9","7","8","7","6","7","7","8","10","9","5","No"
"2020/03/10 12:17:57 AM GMT+2","7","8","7","8","9","9","9","9","9","9","7","7","8","8","10","10","9","6","No"
"2020/03/10 12:18:14 AM GMT+2","8","8","8","9","8","9","9","9","9","9","8","7","8","8","10","10","10","3","No"
"2020/03/10 12:18:21 AM GMT+2","7","7","8","8","6","9","8","8","7","8","7","","","","9","10","9","5","No"
"2020/03/10 12:18:31 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/03/10 12:18:51 AM GMT+2","7","6","7","7","8","8","7","8","9","9","7","6","7","6","9","10","9","4","Yes"
"2020/03/10 12:18:57 AM GMT+2","10","9","9","8","7","10","9","10","8","9","8","10","10","10","10","10","10","1","No"
"2020/03/10 12:19:01 AM GMT+2","9","8","8","7","6","9","7","9","8","8","7","7","8","8","8","10","9","7","No"
"2020/03/10 12:19:12 AM GMT+2","8","8","8","9","8","10","9","9","9","9","8","7","8","7","10","10","10","7","No"
"2020/03/10 12:19:28 AM GMT+2","9","10","8","9","7","10","9","10","9","9","9","8","9","10","10","10","10","1","No"
"2020/03/10 12:19:31 AM GMT+2","8","8","9","9","8","10","9","10","10","9","7","8","10","10","10","10","10","4","No"
"2020/03/10 12:19:45 AM GMT+2","8","7","9","8","8","10","8","10","9","8","7","8","9","7","8","8","9","5","No"
"2020/03/10 12:20:07 AM GMT+2","8","8","7","7","8","10","6","9","9","9","6","","8","8","10","10","10","3","No"
"2020/03/10 12:20:26 AM GMT+2","9","7","8","7","7","8","7","9","10","9","8","","8","8","8","10","8","7","Yes"
"2020/03/10 12:20:54 AM GMT+2","8","8","8","9","8","9","8","8","8","9","8","8","8","9","10","10","10","5","No"
"2020/03/10 12:22:05 AM GMT+2","7","9","8","9","8","10","8","9","9","7","7","7","8","10","10","10","9","7","Yes"
"2020/03/10 12:22:37 AM GMT+2","8","8","9","9","8","9","8","9","8","8","7","","","","9","8","10","7","No"
"2020/03/10 12:22:37 AM GMT+2","8","9","8","8","7","10","8","8","8","7","6","","","","10","10","10","4","No"
"2020/03/10 12:23:00 AM GMT+2","7","7","7","8","6","9","7","8","8","8","6","7","7","7","8","8","8","6","Yes"
"2020/03/10 12:23:01 AM GMT+2","8","8","7","8","7","9","8","10","9","10","10","7","8","8","10","10","10","5","No"
"2020/03/10 12:23:19 AM GMT+2","7","8","8","9","7","10","8","8","9","9","7","7","7","7","10","10","10","6","No"
"2020/03/10 12:23:31 AM GMT+2","9","9","9","10","7","10","9","9","10","9","8","6","8","8","10","10","10","2","No"
"2020/03/10 12:23:43 AM GMT+2","8","8","9","8","8","10","8","8","8","8","7","7","8","8","10","10","10","8","No"
"2020/03/10 12:23:59 AM GMT+2","8","10","8","7","7","10","9","9","8","7","6","7","8","7","10","9","10","6","No"
"2020/03/10 12:24:01 AM GMT+2","9","9","9","9","8","10","8","8","9","9","10","7","9","10","8","10","9","6","No"
"2020/03/10 12:24:10 AM GMT+2","7","8","7","7","7","9","9","9","10","9","7","6","7","7","10","10","10","6","No"
"2020/03/10 12:24:31 AM GMT+2","8","8","7","8","7","8","7","8","8","8","7","6","8","8","7","8","8","5","No"
"2020/03/10 12:24:40 AM GMT+2","7","7","8","8","7","9","9","9","8","9","8","7","8","8","10","10","10","6","No"
"2020/03/10 12:25:04 AM GMT+2","8","9","8","10","7","10","8","9","9","9","7","7","8","9","10","10","10","6","No"
"2020/03/10 12:25:29 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2020/03/10 12:26:35 AM GMT+2","8","8","8","7","9","9","7","8","10","9","7","7","8","8","10","10","10","1","No"
"2020/03/10 12:26:37 AM GMT+2","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","5","No"
"2020/03/10 12:27:00 AM GMT+2","7","8","8","10","8","10","9","10","9","8","8","","9","8","9","9","9","7","No"
"2020/03/10 12:27:41 AM GMT+2","7","7","8","7","6","8","7","9","8","6","7","","","","9","10","8","5","No"
"2020/03/10 12:28:21 AM GMT+2","8","8","8","9","8","10","9","10","9","9","7","","9","9","10","10","10","5","No"
"2020/03/10 12:28:26 AM GMT+2","7","7","7","7","7","9","7","7","7","8","7","7","7","7","9","10","10","5","No"
