"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Team Performance","Final Result","Ole","Sheffield Utd","Did the ref do a good job?"
"2020/06/25 8:06:15 PM GMT+2","8","8","8","8","9","10","10","9","10","9","10","10","10","10","4","Yes"
"2020/06/25 8:06:47 PM GMT+2","8","5","7","7","8","9","8","7","7","6","10","8","9","9","3","Yes"
"2020/06/25 8:07:03 PM GMT+2","7","8","8","8","8","9","8","8","8","8","10","10","9","9","3","Yes"
"2020/06/25 8:07:20 PM GMT+2","6","6","7","7","7","9","8","5","6","6","9","8","9","8","3","Yes"
"2020/06/25 8:07:41 PM GMT+2","7","7","8","7","7","9","8","7","7","6","10","8","10","10","4","Yes"
"2020/06/25 8:08:37 PM GMT+2","7","8","8","9","9","10","9","9","8","7","10","9","10","8","2","Yes"
"2020/06/25 8:09:47 PM GMT+2","7","8","8","8","8","9","8","7","8","7","10","9","9","10","5","Yes"
"2020/06/25 8:10:48 PM GMT+2","7","7","8","8","9","10","8","7","8","7","10","9","10","8","2","Yes"
"2020/06/25 8:10:55 PM GMT+2","6","7","7","6","8","9","7","8","8","6","10","10","10","10","4","Yes"
"2020/06/25 8:10:58 PM GMT+2","7","7","7","7","8","9","9","8","8","7","10","10","10","10","6","Yes"
"2020/06/25 8:12:11 PM GMT+2","8","8","8","8","9","10","9","9","9","8","10","10","10","10","5","Yes"
"2020/06/25 8:13:13 PM GMT+2","6","7","7","7","8","9","8","8","7","7","10","10","10","10","5","Yes"
"2020/06/25 8:13:32 PM GMT+2","8","7","8","7","8","8","8","8","8","7","10","9","10","10","1","Yes"
"2020/06/25 8:14:58 PM GMT+2","6","8","7","7","8","8","8","7","8","7","10","9","10","10","3","Yes"
"2020/06/25 8:18:18 PM GMT+2","7","8","9","8","9","10","9","9","9","8","10","9","9","9","7","Yes"
"2020/06/25 8:19:56 PM GMT+2","5","5","5","5","6","8","7","6","7","5","10","8","8","7","4","Yes"
"2020/06/25 8:22:09 PM GMT+2","7","7","8","8","9","10","10","8","8","8","10","10","10","10","3","Yes"
"2020/06/25 8:23:53 PM GMT+2","6","7","8","7","8","9","9","8","9","7","10","9","10","7","3","Yes"
"2020/06/25 8:26:38 PM GMT+2","6","6","7","7","8","8","8","7","8","7","10","9","9","9","3","Yes"
"2020/06/25 8:27:26 PM GMT+2","6","7","6","6","7","9","7","8","8","7","9","9","9","9","3","Yes"
"2020/06/25 8:27:46 PM GMT+2","6","7","7","6","6","8","7","6","7","5","9","8","8","8","3","Yes"
"2020/06/25 8:28:10 PM GMT+2","5","5","6","5","7","9","8","4","7","6","10","10","10","10","2","Yes"
"2020/06/25 8:28:26 PM GMT+2","6","4","6","6","8","9","8","6","7","5","10","8","8","8","2","Yes"
"2020/06/25 8:30:08 PM GMT+2","7","9","9","9","9","10","10","9","9","9","10","10","10","10","5","Yes"
"2020/06/25 8:31:58 PM GMT+2","7","7","8","8","9","7","8","7","8","7","10","9","10","10","6","Yes"
"2020/06/25 8:34:22 PM GMT+2","6","7","7","7","7","9","9","7","9","7","10","9","10","10","5","No"
"2020/06/25 8:34:31 PM GMT+2","5","4","8","7","9","8","8","9","9","9","10","10","9","10","4","Yes"
"2020/06/25 8:35:33 PM GMT+2","7","8","9","9","9","10","9","9","10","8","10","8","8","9","6","Yes"
"2020/06/25 8:38:01 PM GMT+2","8","9","9","9","9","10","9","8","8","8","10","10","8","10","3","Yes"
"2020/06/25 8:42:06 PM GMT+2","8","8","8","8","9","10","9","8","9","7","10","10","10","9","2","Yes"
"2020/06/25 8:42:47 PM GMT+2","6","6","7","7","8","9","8","8","8","7","10","10","10","9","3","Yes"
"2020/06/25 8:43:00 PM GMT+2","6","7","7","7","8","9","8","8","8","7","10","10","9","8","2","Yes"
"2020/06/25 8:43:15 PM GMT+2","6","7","7","8","8","9","8","8","7","7","10","9","10","8","3","Yes"
"2020/06/25 8:44:02 PM GMT+2","7","7","8","8","9","10","9","8","8","7","10","9","9","9","4","Yes"
"2020/06/25 8:44:45 PM GMT+2","7","7","8","7","9","9","8","9","9","7","10","9","10","10","7","Yes"
"2020/06/25 8:50:42 PM GMT+2","5","6","8","7","7","8","8","6","8","7","9","9","9","9","3","Yes"
"2020/06/25 8:51:26 PM GMT+2","6","7","7","7","7","8","8","7","8","8","10","9","9","9","4",""
"2020/06/25 8:52:51 PM GMT+2","8","4","7","6","7","9","8","6","7","6","10","9","10","10","7","Yes"
"2020/06/25 8:53:37 PM GMT+2","5","6","6","6","7","8","7","6","7","6","9","8","8","7","5","Yes"
"2020/06/25 8:54:40 PM GMT+2","7","7","8","9","8","10","9","7","10","9","10","10","10","10","3","Yes"
"2020/06/25 8:57:51 PM GMT+2","7","7","7","7","8","8","8","7","8","7","10","9","10","9","4","Yes"
"2020/06/25 9:00:07 PM GMT+2","9","7","8","7","8","10","9","6","8","7","10","8","7","8","3","Yes"
"2020/06/25 9:00:30 PM GMT+2","10","8","9","9","10","10","10","9","10","8","10","10","10","10","3","Yes"
"2020/06/25 9:00:39 PM GMT+2","7","7","7","7","8","9","8","7","7","8","10","9","10","9","4","Yes"
"2020/06/25 9:01:01 PM GMT+2","7","7","7","7","7","8","8","7","7","7","9","9","7","8","4","Yes"
"2020/06/25 9:01:05 PM GMT+2","6","7","7","7","7","8","9","7","8","7","9","9","10","10","6","Yes"
"2020/06/25 9:01:10 PM GMT+2","6","7","7","7","8","9","8","8","7","6","10","9","9","10","2","Yes"
"2020/06/25 9:07:54 PM GMT+2","7","8","7","7","8","9","8","7","8","7","10","9","9","9","3","Yes"
"2020/06/25 9:11:02 PM GMT+2","6","5","7","7","8","10","9","7","8","7","10","9","10","10","5","Yes"
"2020/06/25 9:12:39 PM GMT+2","6","7","7","7","7","9","8","8","8","7","10","9","7","7","3","Yes"
"2020/06/25 9:13:54 PM GMT+2","5","2","6","6","7","7","8","7","7","6","9","7","7","7","4","Yes"
"2020/06/25 9:16:29 PM GMT+2","7","8","8","8","8","9","8","7","8","6","10","10","10","9","2","Yes"
"2020/06/25 9:17:24 PM GMT+2","6","7","6","5","8","9","7","7","8","6","10","8","8","7","4","Yes"
