"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Mason Greenwood","Andreas Pereira(optional)","Team Performance","Final Result","Ole","Tottenham","Did the ref/VAR do a good job (optional, please be unbiased)"
"2019/12/06 3:51:25 PM GMT+1","7","6","6","7","6","7","7","8","7","7","6","6","8","9","8","6","Yes"
"2019/12/06 3:51:45 PM GMT+1","8","6","7","7","10","10","8","10","7","7","7","","8","8","8","2","Yes"
"2019/12/06 3:51:51 PM GMT+1","8","8","8","8","8","9","8","10","8","8","8","6","9","9","10","6","Yes"
"2019/12/06 3:53:13 PM GMT+1","8","7","8","8","9","9","8","9","7","7","7","6","8","8","8","3","Yes"
"2019/12/06 3:53:27 PM GMT+1","7","7","7","7","7","8","8","9","7","7","7","","8","10","8","5","Yes"
"2019/12/06 3:54:03 PM GMT+1","8","7","7","8","8","9","9","10","7","7","7","6","8","7","8","4","No"
"2019/12/06 3:54:20 PM GMT+1","8","8","9","9","9","10","9","10","8","8","7","","9","10","9","4","Yes"
"2019/12/06 3:54:43 PM GMT+1","9","8","8","9","9","9","10","10","9","9","9","6","10","10","10","9","Yes"
"2019/12/06 3:55:06 PM GMT+1","7","7","7","7","7","9","8","9","7","7","6","5","9","9","9","3","Yes"
"2019/12/06 3:55:14 PM GMT+1","6","5","6","6","7","6","9","9","5","7","4","2","7","5","10","5","Yes"
"2019/12/06 3:55:29 PM GMT+1","6","4","5","5","7","7","7","8","6","7","6","4","8","7","7","5","Yes"
"2019/12/06 3:56:00 PM GMT+1","7","7","7","7","6","8","8","10","8","7","6","1","8","8","8","4","Yes"
"2019/12/06 3:56:22 PM GMT+1","7","7","7","7","6","8","8","9","7","6","7","4","8","7","8","4","Yes"
"2019/12/06 3:57:32 PM GMT+1","7","6","7","8","7","8","8","9","7","8","8","7","9","9","10","5","Yes"
"2019/12/06 3:57:37 PM GMT+1","7","7","7","8","7","9","8","9","7","6","5","","8","10","8","5","Yes"
"2019/12/06 3:57:37 PM GMT+1","6","6","6","6","7","9","8","8","6","7","6","2","9","9","10","6","No"
"2019/12/06 3:58:11 PM GMT+1","6","6","6","7","6","7","8","9","7","6","5","5","7","7","7","4","Yes"
"2019/12/06 3:58:19 PM GMT+1","6","7","7","7","8","7","8","10","8","8","7","6","10","10","10","4","No"
"2019/12/06 3:58:32 PM GMT+1","9","7","7","7","8","8","8","10","7","7","7","3","7","9","9","3","Yes"
"2019/12/06 3:58:32 PM GMT+1","8","7","7","7","8","7","7","10","7","7","6","6","8","8","7","6","Yes"
"2019/12/06 3:58:49 PM GMT+1","7","6","7","7","8","8","7","9","8","7","7","6","8","9","8","5","Yes"
"2019/12/06 3:59:00 PM GMT+1","7","5","6","8","8","9","8","10","8","7","7","6","8","8","7","6","Yes"
"2019/12/06 3:59:04 PM GMT+1","8","5","6","8","6","8","7","10","6","7","5","","9","9","8","5","No"
"2019/12/06 3:59:38 PM GMT+1","8","6","7","7","8","10","9","10","8","7","6","","8","9","8","3","Yes"
"2019/12/06 4:00:28 PM GMT+1","6","7","6","8","7","10","8","9","7","7","7","","8","10","8","4",""
"2019/12/06 4:00:41 PM GMT+1","8","7","9","9","9","10","8","10","8","8","8","","9","10","9","5","Yes"
"2019/12/06 4:00:44 PM GMT+1","8","6","6","6","8","8","6","9","6","7","5","","7","9","5","5",""
"2019/12/06 4:00:51 PM GMT+1","6","5","6","8","7","9","9","10","9","8","8","","9","10","10","3","Yes"
