"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 6:08:15 PM GMT+1","6","8","6","6","7","8","8","7","8","7","9","","8","6","8","4",""
"2019/12/29 6:08:29 PM GMT+1","7","8","7","7","8","6","10","8","6","7","8","5","8","8","8","1","No"
"2019/12/29 6:08:35 PM GMT+1","8","9","8","7","7","7","8","8","9","9","8","4","9","9","9","4","Yes"
"2019/12/29 6:09:45 PM GMT+1","7","9","7","7","7","7","9","8","8","8","9","","7","10","8","1","No"
"2019/12/29 6:10:14 PM GMT+1","9","9","8","8","8","8","9","7","7","8","9","4","8","9","7","3","No"
"2019/12/29 6:10:15 PM GMT+1","7","8","7","7","7","6","6","9","7","6","8","5","6","8","8","3","No"
"2019/12/29 6:10:40 PM GMT+1","8","9","8","7","7","7","8","8","8","8","8","6","8","7","6","2","No"
"2019/12/29 6:10:47 PM GMT+1","8","9","8","8","7","7","9","8","8","9","9","","8","7","9","2","No"
"2019/12/29 6:11:02 PM GMT+1","7","8","7","8","7","7","8","8","8","8","7","7","9","8","7","4","No"
"2019/12/29 6:11:11 PM GMT+1","9","9","8","9","9","7","9","8","8","9","8","8","9","10","10","6","No"
"2019/12/29 6:11:25 PM GMT+1","7","8","7","7","7","7","8","9","7","8","8","6","7","8","7","5","No"
"2019/12/29 6:11:32 PM GMT+1","7","8","8","7","7","6","6","6","7","7","8","4","8","9","8","6","No"
"2019/12/29 6:11:54 PM GMT+1","7","9","7","8","8","8","9","7","7","8","8","5","8","9","10","6","No"
"2019/12/29 6:11:55 PM GMT+1","6","8","7","9","9","8","8","9","10","10","9","6","8","8","9","2","No"
"2019/12/29 6:12:08 PM GMT+1","8","9","7","8","7","8","8","7","8","6","8","","8","9","8","4","Yes"
"2019/12/29 6:12:57 PM GMT+1","6","8","6","7","7","6","8","8","7","7","8","7","8","8","8","7","No"
"2019/12/29 6:13:52 PM GMT+1","7","8","7","8","7","7","8","7","7","8","7","6","8","8","8","4","No"
"2019/12/29 6:14:00 PM GMT+1","8","9","8","7","6","6","8","9","9","9","10","4","8","10","7","4","No"
"2019/12/29 6:14:16 PM GMT+1","7","8","8","7","7","6","8","8","7","7","9","6","8","8","8","6","No"
"2019/12/29 6:14:33 PM GMT+1","7","8","7","7","8","7","9","7","8","8","7","6","8","8","8","3","No"
"2019/12/29 6:15:17 PM GMT+1","7","8","7","7","8","7","8","8","8","8","8","5","6","5","6","3","No"
"2019/12/29 6:15:23 PM GMT+1","7","8","7","7","7","7","8","7","7","7","8","","8","8","8","4","No"
