"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 7:45:05 PM GMT+1","7","9","8","8","7","8","7","9","8","8","7","6","8","8","8","9","3","Yes"
"2020/01/12 7:46:36 PM GMT+1","7","8","7","7","7","8","9","8","7","10","8","","","8","10","8","3","Yes"
"2020/01/12 7:46:58 PM GMT+1","7","9","5","7","7","8","10","8","1","10","8","","9","10","10","6","2","Yes"
"2020/01/12 7:47:54 PM GMT+1","8","8","9","7","8","9","10","10","7","10","9","7","8","9","9","10","3","No"
"2020/01/12 7:48:36 PM GMT+1","8","9","8","8","7","9","8","9","8","9","9","8","9","10","10","10","3","Yes"
"2020/01/12 7:48:50 PM GMT+1","8","8","7","7","8","8","7","9","7","8","7","","","8","8","8","6","Yes"
"2020/01/12 7:49:59 PM GMT+1","7","9","8","8","8","8","8","9","7","8","6","5","7","8","8","8","3","Yes"
"2020/01/12 7:50:17 PM GMT+1","6","9","7","7","7","8","8","9","7","8","7","","7","8","8","9","5","Yes"
"2020/01/12 7:51:32 PM GMT+1","8","9","7","7","7","8","8","8","7","9","7","6","8","9","9","8","3","Yes"
"2020/01/12 7:51:52 PM GMT+1","8","8","6","8","7","9","9","9","7","9","6","5","8","8","10","8","3","Yes"
"2020/01/12 7:52:27 PM GMT+1","6","8","6","7","7","7","7","8","6","8","7","6","7","9","9","8","2",""
"2020/01/12 7:54:07 PM GMT+1","7","8","7","7","7","9","8","10","7","9","8","6","8","10","10","7","2","Yes"
"2020/01/12 7:56:00 PM GMT+1","8","9","8","7","7","9","8","9","7","8","8","8","9","9","9","8","6","Yes"
"2020/01/12 7:56:19 PM GMT+1","7","8","6","6","7","7","7","9","6","9","7","8","9","9","10","5","1","Yes"
"2020/01/12 7:56:19 PM GMT+1","8","8","6","7","7","9","8","8","7","9","7","6","7","10","10","8","2","Yes"
"2020/01/12 7:56:22 PM GMT+1","8","9","8","8","8","8","9","9","7","10","8","6","8","9","10","10","3","Yes"
"2020/01/12 7:56:23 PM GMT+1","7","9","7","8","8","8","8","9","8","9","9","7","8","8","8","8","6","Yes"
"2020/01/12 7:58:36 PM GMT+1","7","7","6","6","6","7","6","8","6","8","7","","","7","8","7","2","Yes"
"2020/01/12 7:59:04 PM GMT+1","7","9","7","8","6","9","8","8","7","9","7","7","8","8","10","8","5","Yes"
"2020/01/12 7:59:48 PM GMT+1","7","8","6","6","6","8","7","8","6","8","7","5","7","7","9","7","4","Yes"
"2020/01/12 8:00:23 PM GMT+1","6","8","6","6","6","7","6","9","7","8","8","","","8","8","7","3","Yes"
"2020/01/12 8:01:23 PM GMT+1","7","9","7","7","7","8","8","9","7","9","9","7","9","8","8","8","3","Yes"
"2020/01/12 8:01:33 PM GMT+1","8","9","7","7","8","10","7","9","7","9","7","6","8","10","9","9","3","Yes"
"2020/01/12 8:02:21 PM GMT+1","7","8","7","7","7","8","7","9","7","9","8","7","7","9","9","7","4","Yes"
"2020/01/12 8:03:46 PM GMT+1","8","7","8","8","8","9","8","10","8","9","7","","8","8","9","8","5","No"
