"Timestamp","David de Gea","Ashley Young","Harry Maguire","Alex Tuanzebe","Diogo Dalot","Fred","Scott McTominay","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Marcos Rojo (optional)","Mason Greenwood (optional)","Performance","Final Result","Ole","Opponent - Newcastle  ","Were you happy with the ref? (optional)"
"2019/10/07 6:17:51 PM GMT+1","7","5","5","6","2","1","5","4","1","1","1","","","1","1","1","9","Yes"
"2019/10/07 6:18:12 PM GMT+1","4","1","1","4","2","1","4","4","1","1","1","","","1","1","1","7","Yes"
"2019/10/07 6:20:12 PM GMT+1","6","5","7","7","5","2","4","5","1","2","2","4","","1","2","4","8","No"
"2019/10/07 6:22:18 PM GMT+1","3","3","4","4","3","1","3","4","3","3","1","3","3","1","2","1","4","Yes"
"2019/10/07 6:23:39 PM GMT+1","6","2","4","3","8","9","4","3","8","6","9","7","3","3","2","9","9","Yes"
"2019/10/07 6:24:56 PM GMT+1","9","1","3","5","2","2","4","2","2","1","3","","","1","1","1","10",""
"2019/10/07 6:27:46 PM GMT+1","5","2","4","5","2","1","2","4","2","2","1","","","1","1","1","8","Yes"
"2019/10/07 6:27:46 PM GMT+1","7","2","4","4","4","1","5","6","2","2","2","","","1","1","2","7",""
"2019/10/07 6:29:10 PM GMT+1","6","6","6","7","6","4","6","6","5","4","5","5","6","3","1","4","5","Yes"
"2019/10/07 6:33:40 PM GMT+1","6","5","5","6","4","3","3","4","4","5","2","5","4","1","1","1","6","Yes"
"2019/10/07 6:34:18 PM GMT+1","5","4","4","4","4","1","3","3","2","1","2","4","4","2","1","2","6","Yes"
"2019/10/07 6:37:21 PM GMT+1","6","5","5","5","5","2","4","4","2","2","2","4","","3","2","2","5","No"
"2019/10/07 6:38:52 PM GMT+1","7","5","7","6","5","4","6","7","5","5","5","6","6","4","4","5","5","Yes"
"2019/10/07 6:42:53 PM GMT+1","5","4","4","7","4","1","3","4","1","2","2","2","5","1","1","1","6","Yes"
"2019/10/07 6:43:26 PM GMT+1","4","7","6","6","5","4","6","5","5","5","5","6","6","2","1","1","8","Yes"
"2019/10/07 6:52:53 PM GMT+1","4","3","4","5","3","2","6","4","3","2","3","","","4","2","3","7","Yes"
"2019/10/07 6:53:28 PM GMT+1","5","4","5","5","4","4","6","5","4","2","2","4","3","2","2","4","5","Yes"
"2019/10/07 7:00:22 PM GMT+1","4","2","8","6","2","1","5","4","3","2","2","6","4","2","1","2","4","No"
"2019/10/07 7:00:31 PM GMT+1","6","6","6","6","6","5","5","5","5","6","5","6","6","4","2","5","5","Yes"
"2019/10/07 7:02:12 PM GMT+1","5","5","5","7","3","1","3","3","2","2","2","4","4","1","2","2","4","Yes"
"2019/10/07 7:04:04 PM GMT+1","5","5","6","5","3","1","4","4","2","1","1","3","5","4","1","1","7","No"
"2019/10/07 7:16:07 PM GMT+1","6","4","4","5","5","2","4","5","3","2","3","4","3","4","1","3","6","No"
"2019/10/07 7:22:57 PM GMT+1","6","7","5","6","5","5","6","6","4","4","3","5","4","3","2","3","6",""
"2019/10/07 7:28:35 PM GMT+1","5","5","7","6","5","3","5","5","4","3","4","4","4","3","1","3","7","Yes"
"2019/10/07 7:37:10 PM GMT+1","7","4","6","6","4","1","4","5","4","3","3","4","4","2","1","3","5","No"
"2019/10/07 7:37:12 PM GMT+1","6","4","6","6","5","2","3","5","3","2","3","2","4","2","1","6","1","No"
"2019/10/07 7:39:43 PM GMT+1","5","3","5","5","4","1","4","3","2","2","2","2","3","3","1","1","7","Yes"
"2019/10/07 7:46:43 PM GMT+1","5","5","4","5","5","4","5","5","4","4","3","5","5","3","4","3","5","No"
"2019/10/07 7:51:56 PM GMT+1","4","6","4","5","3","1","6","4","3","2","2","4","3","3","1","1","7","Yes"
"2019/10/07 7:54:09 PM GMT+1","7","5","5","6","5","5","4","5","3","4","4","5","5","2","1","3","5","Yes"
"2019/10/07 7:56:04 PM GMT+1","4","6","7","5","3","2","4","5","3","5","1","","","1","1","2","7","Yes"
"2019/10/07 7:59:44 PM GMT+1","7","4","8","7","5","2","6","6","4","5","5","6","5","4","2","2","5","Yes"
"2019/10/07 8:00:14 PM GMT+1","3","3","4","4","3","1","3","4","3","2","2","4","3","2","2","1","7","Yes"
"2019/10/07 8:04:52 PM GMT+1","6","4","4","7","4","4","5","5","2","3","2","5","3","2","1","3","3","Yes"
"2019/10/07 8:06:45 PM GMT+1","5","2","4","6","2","2","4","4","2","2","3","4","4","1","2","1","7","Yes"
"2019/10/07 8:10:47 PM GMT+1","5","4","4","4","4","1","4","5","3","2","3","","","2","1","2","7","Yes"
"2019/10/07 8:20:28 PM GMT+1","7","5","6","6","4","2","5","4","3","4","5","4","4","1","1","4","5","Yes"
"2019/10/07 8:20:50 PM GMT+1","5","3","7","7","5","5","5","5","3","3","3","6","5","2","2","7","5","Yes"
"2019/10/07 8:24:39 PM GMT+1","6","6","6","8","6","3","4","4","4","2","2","4","5","2","1","2","6","No"
"2019/10/07 8:28:01 PM GMT+1","5","4","5","6","5","4","5","5","3","3","3","4","4","3","2","2","5","Yes"
"2019/10/07 8:30:41 PM GMT+1","5","6","7","6","6","2","4","3","2","4","3","","","4","1","3","7","Yes"
"2019/10/07 8:36:18 PM GMT+1","7","5","7","6","4","3","6","6","4","4","5","","","3","7","6","7","Yes"
"2019/10/07 8:40:03 PM GMT+1","7","5","6","6","5","2","6","4","4","3","4","5","4","2","2","2","6","Yes"
"2019/10/07 8:47:38 PM GMT+1","7","5","6","6","6","5","6","7","5","4","5","6","6","4","4","3","4","Yes"
"2019/10/07 8:48:21 PM GMT+1","7","4","6","7","4","1","5","5","2","2","2","5","5","1","1","1","1","Yes"
"2019/10/07 8:49:52 PM GMT+1","6","3","4","3","3","1","6","5","4","2","2","3","3","1","1","2","6","Yes"
"2019/10/07 8:51:44 PM GMT+1","4","4","5","7","5","4","4","5","4","5","3","5","4","3","2","3","4","Yes"
"2019/10/07 8:53:23 PM GMT+1","4","3","4","5","2","1","5","4","1","1","2","1","","1","1","1","3","Yes"
"2019/10/07 9:03:37 PM GMT+1","7","4","5","6","3","3","6","5","3","2","4","3","5","5","2","2","6","No"
"2019/10/07 9:13:06 PM GMT+1","7","4","5","6","6","3","3","3","3","4","3","4","4","3","1","1","6","Yes"
"2019/10/07 9:13:48 PM GMT+1","7","6","6","7","5","5","7","6","5","5","5","5","5","3","2","4","6","Yes"
"2019/10/07 9:19:39 PM GMT+1","7","5","7","6","5","3","6","3","2","2","1","3","5","2","1","3","6","Yes"
"2019/10/07 9:20:56 PM GMT+1","7","6","7","7","5","4","5","5","4","5","4","6","5","3","1","4","7","No"
"2019/10/07 9:22:30 PM GMT+1","6","5","5","5","5","2","6","6","3","6","3","6","4","2","1","2","7","No"
