"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Paul Pogba (optional)","Juan Mata (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job (optional) (be unbiased)"
"2019/12/24 11:09:55 PM GMT+1","4","5","5","3","6","5","5","4","3","5","6","4","7","5","4","1","3","7","Yes"
"2019/12/24 11:10:04 PM GMT+1","4","4","5","5","5","6","4","5","2","4","3","5","7","5","2","1","1","8","Yes"
"2019/12/24 11:10:34 PM GMT+1","3","5","7","7","3","8","5","4","4","4","8","5","10","7","5","1","5","6","Yes"
"2019/12/24 11:11:16 PM GMT+1","2","4","4","5","7","9","4","4","2","7","9","5","10","6","4","1","4","7","Yes"
"2019/12/24 11:11:54 PM GMT+1","3","4","5","5","6","6","4","6","2","6","6","","8","","2","1","1","5","Yes"
"2019/12/24 11:18:12 PM GMT+1","3","5","5","5","5","6","5","4","3","4","6","","8","","5","3","3","6","Yes"
"2019/12/24 11:18:33 PM GMT+1","2","3","7","6","6","5","4","4","3","4","7","5","7","6","4","1","7","5","Yes"
"2019/12/24 11:20:09 PM GMT+1","1","3","4","3","4","4","2","4","1","3","5","4","9","3","2","1","2","5","Yes"
"2019/12/24 11:20:39 PM GMT+1","3","5","5","5","3","5","5","4","3","4","5","5","6","5","3","1","3","7","Yes"
"2019/12/24 11:26:18 PM GMT+1","1","4","5","5","2","5","5","4","1","4","5","4","6","4","1","3","2","4","Yes"
"2019/12/24 11:26:33 PM GMT+1","3","3","4","6","3","4","3","4","2","3","5","4","7","5","2","1","1","3","Yes"
"2019/12/24 11:26:34 PM GMT+1","3","6","6","5","5","6","6","5","2","4","6","6","7","5","4","1","2","6","No"
"2019/12/24 11:26:40 PM GMT+1","3","6","6","6","5","7","4","4","2","5","7","6","7","6","2","1","1","10","Yes"
"2019/12/24 11:28:27 PM GMT+1","4","4","3","4","5","6","4","5","4","3","5","3","8","5","3","3","4","3","Yes"
"2019/12/24 11:29:11 PM GMT+1","4","5","5","5","4","6","4","5","3","4","6","5","8","4","4","1","3","5","Yes"
"2019/12/24 11:29:24 PM GMT+1","1","3","4","4","2","5","5","3","1","3","3","5","7","2","1","1","1","4","Yes"
"2019/12/24 11:34:49 PM GMT+1","3","4","5","4","4","4","3","5","2","2","3","","7","","2","1","4","5","Yes"
"2019/12/24 11:38:18 PM GMT+1","3","6","7","7","4","5","5","6","3","5","8","5","9","4","1","1","5","4","No"
"2019/12/24 11:39:24 PM GMT+1","2","3","4","4","4","4","4","4","1","3","5","5","7","","2","1","3","7","Yes"
"2019/12/24 11:39:45 PM GMT+1","3","4","5","5","5","5","5","5","3","4","7","5","7","5","3","2","5","6","Yes"
"2019/12/24 11:40:57 PM GMT+1","3","6","5","5","5","6","5","5","2","4","6","5","9","5","3","4","5","7","Yes"
"2019/12/24 11:42:58 PM GMT+1","1","3","3","3","4","4","4","3","2","2","4","4","6","5","3","1","2","6","Yes"
