"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/27 12:17:26 AM GMT+2","7","10","8","8","8","8","8","8","9","8","8","6","5","5","8","9","8","5","Yes"
"2020/02/27 12:17:42 AM GMT+2","7","7","8","7","7","7","7","8","8","8","8","7","","","7","8","7","5","Yes"
"2020/02/27 12:17:44 AM GMT+2","7","8","8","6","7","7","8","7","9","9","8","","","","8","8","8","2","Yes"
"2020/02/27 12:18:18 AM GMT+2","9","9","8","7","7","6","7","8","10","8","7","7","5","8","7","10","8","4","Yes"
"2020/02/27 12:20:57 AM GMT+2","6","8","6","6","8","7","9","6","10","8","8","6","5","10","8","9","10","4","Yes"
"2020/02/27 12:23:59 AM GMT+2","7","8","6","6","6","7","7","8","9","7","7","7","5","6","8","8","7","3","Yes"
"2020/02/27 12:24:19 AM GMT+2","6","7","7","7","7","7","8","6","9","8","8","6","","6","7","8","8","2","Yes"
"2020/02/27 12:24:21 AM GMT+2","7","7","7","6","7","7","6","6","9","8","8","","6","6","7","9","8","5","Yes"
"2020/02/27 12:24:25 AM GMT+2","9","10","8","8","8","8","7","7","10","9","9","8","7","8","9","10","8","4","Yes"
"2020/02/27 12:26:35 AM GMT+2","7","8","6","6","7","7","8","7","9","8","7","4","6","5","7","10","7","5",""
"2020/02/27 12:29:18 AM GMT+2","7","8","8","7","7","7","7","7","10","9","9","8","5","","8","8","10","7","Yes"
"2020/02/27 12:31:41 AM GMT+2","7","8","7","6","7","7","7","6","10","8","7","","","","8","9","7","3","Yes"
"2020/02/27 12:32:08 AM GMT+2","8","8","8","8","8","8","8","8","10","8","8","8","","","9","10","10","7","Yes"
"2020/02/27 12:33:04 AM GMT+2","7","7","7","7","7","7","7","7","9","7","8","7","7","7","8","8","8","6","Yes"
"2020/02/27 12:34:41 AM GMT+2","8","7","8","8","7","6","7","6","9","8","6","7","5","","7","8","8","5","Yes"
"2020/02/27 12:34:53 AM GMT+2","6","7","6","4","6","4","6","6","8","7","7","6","6","6","7","8","8","7","Yes"
"2020/02/27 12:38:21 AM GMT+2","7","8","8","7","8","8","8","8","10","8","8","","","","9","10","9","5","Yes"
"2020/02/27 12:41:02 AM GMT+2","6","8","7","7","7","6","6","7","9","8","8","","7","7","8","9","7","5","Yes"
"2020/02/27 12:43:24 AM GMT+2","7","7","8","7","6","7","6","7","9","7","8","6","6","6","8","10","8","6","Yes"
"2020/02/27 12:47:36 AM GMT+2","7","7","7","7","7","7","7","7","9","8","7","","","","7","9","8","6","Yes"
"2020/02/27 12:50:11 AM GMT+2","7","9","8","8","7","8","8","7","9","8","8","","","","7","9","9","6","Yes"
"2020/02/27 12:54:42 AM GMT+2","7","8","8","7","7","6","7","6","8","7","7","","","","7","7","7","6","Yes"
"2020/02/27 12:59:46 AM GMT+2","8","8","6","6","7","6","7","6","8","8","8","6","6","6","7","9","9","6","Yes"
"2020/02/27 1:06:02 AM GMT+2","7","8","7","7","7","6","6","7","8","7","8","6","6","6","7","7","6","6","Yes"
"2020/02/27 1:09:20 AM GMT+2","7","7","7","7","7","7","8","8","9","7","8","6","6","6","8","10","9","7","Yes"
"2020/02/27 1:10:36 AM GMT+2","7","8","8","7","7","8","8","7","10","8","6","","","","8","10","8","6","Yes"
"2020/02/27 1:24:38 AM GMT+2","8","7","7","7","6","7","7","6","8","7","7","","","","8","9","8","3","Yes"
"2020/02/27 1:27:21 AM GMT+2","8","9","8","7","9","7","8","7","10","10","9","","","","9","9","8","5","Yes"
"2020/02/27 1:34:03 AM GMT+2","8","7","6","6","6","6","7","5","7","6","9","6","6","5","5","8","6","5","Yes"
"2020/02/27 1:37:10 AM GMT+2","8","9","7","8","7","7","6","8","10","8","8","6","6","7","9","10","8","6","Yes"
"2020/02/27 1:42:19 AM GMT+2","6","9","7","8","6","8","8","8","9","7","7","6","6","6","8","8","8","7","Yes"
"2020/02/27 1:43:21 AM GMT+2","8","9","7","7","9","8","7","7","10","7","8","","","","8","8","8","6","Yes"
"2020/02/27 1:45:05 AM GMT+2","8","9","8","7","7","8","6","7","8","8","8","","","","8","9","10","3","Yes"
"2020/02/27 1:46:25 AM GMT+2","9","9","8","7","7","6","8","7","9","8","8","","","","8","9","8","4","Yes"
"2020/02/27 1:58:04 AM GMT+2","7","7","6","6","6","7","7","6","8","7","7","","","","8","10","9","5","Yes"
"2020/02/27 2:00:04 AM GMT+2","8","9","9","8","7","8","8","9","10","9","9","8","7","6","8","8","8","6","Yes"
"2020/02/27 2:14:25 AM GMT+2","6","9","7","8","7","7","6","8","10","7","7","","","","8","9","9","4","Yes"
"2020/02/27 2:29:17 AM GMT+2","8","9","9","8","8","8","9","8","10","8","8","","7","8","9","9","10","6","Yes"
"2020/02/27 2:31:33 AM GMT+2","8","8","7","7","7","7","8","7","9","8","8","","","","7","7","8","6","Yes"
"2020/02/27 2:33:05 AM GMT+2","7","8","7","6","7","8","8","8","9","8","7","","","","8","9","8","5","No"
"2020/02/27 2:43:48 AM GMT+2","8","9","8","8","7","8","8","8","10","8","8","7","5","6","9","9","9","4","Yes"
"2020/02/27 2:48:21 AM GMT+2","9","10","8","8","8","8","8","7","9","9","9","8","7","8","8","10","10","6","Yes"
"2020/02/27 2:57:49 AM GMT+2","7","7","8","8","7","9","8","7","10","9","9","6","5","5","8","10","8","2","Yes"
"2020/02/27 3:08:12 AM GMT+2","8","8","8","8","8","8","7","7","9","8","8","","","","9","10","10","5","Yes"
"2020/02/27 3:09:06 AM GMT+2","7","9","8","7","7","7","7","7","9","8","8","6","6","6","8","9","9","7","Yes"
"2020/02/27 3:23:14 AM GMT+2","8","7","7","6","6","6","7","7","9","7","8","6","6","6","7","10","8","3",""
