"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 5:42:21 PM GMT+2","3","5","4","4","3","4","5","4","8","3","4","7","7","5","6","7","5","No"
"2020/06/21 5:42:52 PM GMT+2","5","6","6","5","5","7","5","5","7","1","3","8","7","5","5","5","6","No"
"2020/06/21 5:43:13 PM GMT+2","5","6","5","5","6","6","6","7","9","5","6","8","7","7","6","7","7","No"
"2020/06/21 5:45:01 PM GMT+2","5","8","5","5","6","5","7","6","8","5","6","8","5","5","5","7","5","No"
"2020/06/21 5:45:02 PM GMT+2","4","4","4","5","5","5","6","6","7","5","7","8","8","5","4","7","5","No"
"2020/06/21 5:46:08 PM GMT+2","6","6","5","5","7","5","6","6","7","5","5","9","8","6","5","7","6","No"
"2020/06/21 5:47:39 PM GMT+2","3","8","7","6","4","5","6","4","9","4","3","8","6","7","6","9","6","No"
"2020/06/21 5:48:03 PM GMT+2","5","6","5","6","7","7","8","6","9","5","6","8","7","7","6","8","6","No"
"2020/06/21 5:49:14 PM GMT+2","4","7","6","6","8","7","6","5","7","4","5","9","8","7","5","7","6","No"
"2020/06/21 5:50:00 PM GMT+2","6","6","7","6","7","7","6","6","8","5","5","8","7","7","8","7","5","No"
"2020/06/21 5:50:10 PM GMT+2","2","8","7","7","6","3","5","6","7","2","6","10","7","7","6","6","7","Yes"
"2020/06/21 5:50:16 PM GMT+2","3","4","8","4","7","8","8","9","9","7","4","10","10","4","3","4","6","No"
"2020/06/21 5:50:17 PM GMT+2","5","5","5","5","5","5","5","4","7","4","5","8","7","6","4","5","6","No"
"2020/06/21 5:50:56 PM GMT+2","4","6","5","6","5","5","6","6","8","3","5","8","7","7","5","6","4","No"
"2020/06/21 5:51:48 PM GMT+2","5","6","6","6","7","6","6","7","8","6","6","8","8","6","7","7","7","No"
"2020/06/21 5:52:06 PM GMT+2","6","6","5","6","6","6","6","6","8","5","5","7","6","6","6","6","5","No"
"2020/06/21 5:53:37 PM GMT+2","5","6","5","7","7","6","6","7","8","6","7","9","7","7","5","6","7","No"
"2020/06/21 5:54:37 PM GMT+2","2","4","7","7","7","5","5","5","8","5","5","8","6","6","5","6","1","No"
"2020/06/21 5:55:33 PM GMT+2","4","7","5","6","6","6","7","5","7","2","5","7","7","6","6","7","5","No"
"2020/06/21 5:56:46 PM GMT+2","5","6","6","6","6","7","7","6","8","7","5","7","7","6","5","7","4","No"
"2020/06/21 5:58:48 PM GMT+2","3","4","7","6","7","4","5","5","8","4","4","8","7","6","4","5","6","Yes"
"2020/06/21 5:58:59 PM GMT+2","4","6","5","5","7","5","5","6","6","5","5","8","8","6","6","6","6","No"
"2020/06/21 5:59:27 PM GMT+2","5","6","6","6","7","6","7","7","8","6","5","8","7","6","5","9","6","No"
"2020/06/21 6:01:08 PM GMT+2","5","9","5","6","7","7","8","7","8","5","5","9","7","6","5","6","6","No"
"2020/06/21 6:03:01 PM GMT+2","5","4","6","7","7","7","7","7","8","7","7","9","8","7","6","8","7","Yes"
"2020/06/21 6:03:30 PM GMT+2","4","6","5","6","6","6","5","4","7","5","5","7","7","6","5","6","5","No"
"2020/06/21 6:04:18 PM GMT+2","5","6","5","6","7","7","7","7","8","5","7","8","7","7","5","8","8","No"
"2020/06/21 6:04:36 PM GMT+2","5","6","6","6","6","6","6","7","8","5","5","7","6","6","6","7","7","Yes"
"2020/06/21 6:06:05 PM GMT+2","4","8","5","6","6","6","6","6","7","4","4","10","10","5","5","6","4","No"
"2020/06/21 6:06:26 PM GMT+2","6","6","4","6","7","5","6","6","7","5","6","9","7","7","4","5","6","No"
"2020/06/21 6:06:52 PM GMT+2","5","6","5","6","6","5","6","4","7","4","5","8","7","6","6","7","5","No"
"2020/06/21 6:07:17 PM GMT+2","5","6","5","5","6","7","6","6","7","5","5","7","6","6","4","7","5","No"
"2020/06/21 6:07:28 PM GMT+2","5","8","5","8","9","6","9","5","8","5","6","9","9","6","6","9","7","No"
"2020/06/21 6:07:52 PM GMT+2","5","7","4","7","8","6","7","6","8","5","7","9","8","7","7","8","7","No"
"2020/06/21 6:08:35 PM GMT+2","4","6","6","6","7","6","6","6","7","3","6","9","7","7","7","8","5","No"
"2020/06/21 6:08:53 PM GMT+2","5","7","6","7","7","5","6","3","7","2","5","10","7","7","5","7","4","No"
"2020/06/21 6:09:13 PM GMT+2","4","5","4","6","5","5","6","5","7","5","5","9","7","6","6","4","6","No"
"2020/06/21 6:09:40 PM GMT+2","5","5","5","5","5","6","6","6","7","5","6","7","6","6","6","7","5","No"
"2020/06/21 6:10:06 PM GMT+2","5","6","5","4","6","7","7","6","7","5","5","7","6","7","8","9","7","Yes"
"2020/06/21 6:11:13 PM GMT+2","5","8","5","7","7","7","8","6","8","5","6","9","7","7","7","6","4","No"
"2020/06/21 6:11:18 PM GMT+2","5","6","5","6","7","7","7","6","8","5","5","8","8","7","6","7","9","No"
"2020/06/21 6:11:45 PM GMT+2","5","6","5","5","6","5","7","4","8","4","5","8","8","6","6","6","5","Yes"
"2020/06/21 6:11:51 PM GMT+2","6","7","7","6","8","7","6","6","10","6","5","10","7","8","8","7","6","No"
"2020/06/21 6:12:12 PM GMT+2","5","6","5","6","7","7","7","6","7","6","6","8","7","7","7","8","6","Yes"
"2020/06/21 6:12:59 PM GMT+2","5","7","7","6","6","5","6","5","7","5","5","9","8","6","4","6","6","No"
"2020/06/21 6:13:06 PM GMT+2","4","6","4","6","6","6","5","6","8","6","5","9","8","7","6","6","3","No"
"2020/06/21 6:13:19 PM GMT+2","3","7","4","5","5","5","6","5","7","2","6","9","7","6","5","7","5","No"
"2020/06/21 6:14:18 PM GMT+2","3","4","4","6","6","7","6","6","7","5","5","8","7","5","6","6","6","Yes"
"2020/06/21 6:15:32 PM GMT+2","5","5","5","6","6","6","6","6","7","5","5","8","7","6","5","6","6","No"
"2020/06/21 6:16:06 PM GMT+2","4","5","6","6","7","5","6","7","8","5","6","9","8","6","3","7","3","No"
"2020/06/21 6:17:43 PM GMT+2","4","6","4","7","7","4","5","5","9","4","6","9","7","6","5","7","6","No"
"2020/06/21 6:18:08 PM GMT+2","3","5","4","5","6","5","5","5","7","4","5","10","10","7","6","8","6","Yes"
"2020/06/21 6:19:10 PM GMT+2","8","7","6","7","8","6","6","7","8","5","6","8","8","7","7","8","9","No"
"2020/06/21 6:19:44 PM GMT+2","4","5","5","5","5","5","5","4","6","3","5","8","5","5","3","6","4","Yes"
"2020/06/21 6:20:12 PM GMT+2","4","5","6","6","6","5","5","5","6","4","6","8","8","5","5","6","7","Yes"
"2020/06/21 6:20:27 PM GMT+2","7","6","6","6","7","7","6","7","8","5","6","9","8","7","5","6","6","No"
"2020/06/21 6:20:40 PM GMT+2","4","3","4","5","3","5","5","4","6","4","3","6","5","4","4","4","6","No"
"2020/06/21 6:21:05 PM GMT+2","4","7","6","6","8","4","6","6","8","5","4","8","7","6","6","7","5","No"
"2020/06/21 6:22:01 PM GMT+2","4","5","5","5","7","5","7","7","8","5","4","10","9","6","6","7","3","No"
"2020/06/21 6:22:15 PM GMT+2","6","6","6","6","8","7","7","6","8","6","6","","7","7","5","7","4","No"
"2020/06/21 6:22:28 PM GMT+2","4","7","5","6","6","5","6","6","8","5","6","9","8","7","6","7","5","No"
"2020/06/21 6:24:14 PM GMT+2","4","5","7","6","8","6","6","7","8","3","5","8","7","7","6","6","5","No"
"2020/06/21 6:24:28 PM GMT+2","9","6","7","10","10","6","10","10","10","9","7","7","8","6","6","10","5","No"
"2020/06/21 6:24:34 PM GMT+2","7","5","5","6","7","5","6","7","8","6","5","9","8","8","5","10","9","No"
"2020/06/21 6:25:10 PM GMT+2","6","7","6","6","7","5","6","8","9","6","6","8","7","7","7","8","4","No"
"2020/06/21 6:26:31 PM GMT+2","5","6","6","6","7","6","7","7","8","6","6","9","7","7","7","8","7","No"
"2020/06/21 6:26:34 PM GMT+2","6","6","6","6","6","5","7","7","8","4","6","8","7","6","6","7","7","Yes"
"2020/06/21 6:27:28 PM GMT+2","3","1","4","4","6","6","6","7","8","5","5","8","7","6","7","5","6","Yes"
"2020/06/21 6:27:44 PM GMT+2","2","7","6","7","7","6","8","5","9","4","5","8","8","7","5","7","3","No"
"2020/06/21 6:27:52 PM GMT+2","4","6","4","5","6","5","5","5","7","3","5","7","6","6","5","5","5","No"
"2020/06/21 6:29:32 PM GMT+2","5","8","3","5","6","7","6","7","8","6","4","8","7","7","6","7","6","No"
"2020/06/21 6:30:01 PM GMT+2","3","6","5","7","7","7","6","5","8","3","5","9","9","8","6","7","6","No"
"2020/06/21 6:30:41 PM GMT+2","3","6","4","6","6","6","6","5","7","4","5","9","8","7","6","6","6","Yes"
"2020/06/21 6:31:04 PM GMT+2","3","6","3","5","6","5","6","6","8","4","5","8","7","6","6","6","5","No"
