"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 3:14:02 PM GMT+1","10","8","9","9","10","10","9","9","8","8","10","","10","10","10","4","Yes"
"2019/12/08 3:14:22 PM GMT+1","8","8","8","8","10","9","8","8","8","8","8","6","8","8","9","6","Yes"
"2019/12/08 3:14:24 PM GMT+1","8","8","8","9","10","8","8","10","8","8","9","","10","8","10","6","No"
"2019/12/08 3:14:33 PM GMT+1","8","7","7","8","10","9","8","10","9","8","9","7","8","8","9","7","Yes"
"2019/12/08 3:15:19 PM GMT+1","7","8","8","8","9","10","9","9","8","8","8","","9","10","9","8","Yes"
"2019/12/08 3:15:23 PM GMT+1","7","6","7","7","9","8","8","9","7","8","8","5","8","10","8","7","Yes"
"2019/12/08 3:15:24 PM GMT+1","8","7","7","8","10","9","8","9","8","8","9","7","10","10","9","4","Yes"
"2019/12/08 3:15:54 PM GMT+1","8","8","8","9","10","9","8","9","8","8","9","7","10","10","9","7","Yes"
"2019/12/08 3:16:09 PM GMT+1","9","8","8","8","9","9","9","10","8","9","9","7","9","8","9","3","Yes"
"2019/12/08 3:16:27 PM GMT+1","7","8","8","8","10","9","8","9","7","8","8","7","10","10","10","4","Yes"
"2019/12/08 3:16:50 PM GMT+1","8","8","7","9","10","9","9","9","8","8","9","7","10","10","10","5","Yes"
"2019/12/08 3:16:53 PM GMT+1","8","7","8","8","9","8","8","9","8","8","8","7","10","10","10","7","No"
"2019/12/08 3:18:39 PM GMT+1","8","7","7","8","9","9","9","8","7","7","7","4","9","10","8","6","Yes"
"2019/12/08 3:18:52 PM GMT+1","9","7","7","8","10","9","8","9","7","9","8","6","10","10","10","3","Yes"
"2019/12/08 3:18:57 PM GMT+1","7","7","8","8","10","8","8","8","8","8","8","6","9","9","10","7","Yes"
"2019/12/08 3:19:14 PM GMT+1","9","8","8","8","10","10","10","10","8","9","10","7","9","10","9","8","Yes"
"2019/12/08 3:19:28 PM GMT+1","9","5","5","10","10","5","10","10","7","10","8","8","9","10","10","6","Yes"
"2019/12/08 3:19:47 PM GMT+1","10","8","8","9","9","10","8","9","7","8","9","8","10","9","9","7","Yes"
"2019/12/08 3:19:49 PM GMT+1","7","6","7","7","9","7","7","8","7","8","8","","7","7","7","5","Yes"
"2019/12/08 3:20:52 PM GMT+1","9","9","8","8","10","10","10","10","9","9","10","7","9","9","10","6","Yes"
"2019/12/08 3:22:12 PM GMT+1","8","7","8","8","10","9","9","8","8","9","8","7","9","9","9","5","No"
"2019/12/08 3:22:27 PM GMT+1","7","6","7","8","10","9","9","9","8","8","7","6","8","10","8","3","Yes"
"2019/12/08 3:22:30 PM GMT+1","9","8","8","9","10","10","9","8","8","8","9","8","9","10","10","8","Yes"
"2019/12/08 3:22:54 PM GMT+1","8","7","8","8","10","9","10","9","7","7","8","","10","10","10","6","Yes"
"2019/12/08 3:23:30 PM GMT+1","8","7","7","7","9","9","8","9","7","8","9","6","8","8","8","7","Yes"
"2019/12/08 3:23:47 PM GMT+1","8","8","8","9","10","9","8","9","7","8","8","6","9","10","9","4","Yes"
"2019/12/08 3:24:05 PM GMT+1","8","8","8","7","10","9","7","8","7","8","7","6","8","10","9","8","Yes"
"2019/12/08 3:24:31 PM GMT+1","8","8","8","9","10","9","9","9","9","10","9","7","9","10","9","4","Yes"
"2019/12/08 3:25:08 PM GMT+1","9","8","9","10","10","9","8","10","8","9","8","","10","10","9","7","Yes"
"2019/12/08 3:25:11 PM GMT+1","8","7","6","9","10","9","9","9","8","8","9","","9","7","9","4","Yes"
"2019/12/08 3:26:00 PM GMT+1","9","9","8","9","10","10","10","9","8","9","10","8","10","10","10","7","Yes"
"2019/12/08 3:26:17 PM GMT+1","9","7","8","9","10","9","9","8","7","8","8","6","10","10","8","7","Yes"
"2019/12/08 3:26:27 PM GMT+1","7","8","7","7","9","9","9","9","8","7","8","4","8","10","8","1","Yes"
"2019/12/08 3:26:47 PM GMT+1","8","7","7","7","9","8","7","9","7","7","7","1","7","10","8","5","Yes"
"2019/12/08 3:27:16 PM GMT+1","8","8","8","8","10","10","8","9","8","8","8","7","10","10","10","5","Yes"
"2019/12/08 3:27:24 PM GMT+1","8","7","7","8","10","9","8","8","7","7","8","5","10","8","9","8","Yes"
"2019/12/08 3:27:37 PM GMT+1","9","8","9","10","10","9","9","10","9","9","10","8","10","9","10","3","Yes"
"2019/12/08 3:27:54 PM GMT+1","8","6","7","7","9","7","7","8","7","7","8","6","8","9","8","5","Yes"
"2019/12/08 3:28:07 PM GMT+1","7","7","8","8","9","10","10","10","8","8","8","","9","10","10","8","Yes"
"2019/12/08 3:28:14 PM GMT+1","10","9","9","9","10","7","7","7","7","7","7","5","8","10","8","6","Yes"
"2019/12/08 3:28:42 PM GMT+1","8","6","8","7","8","7","7","8","7","7","7","6","9","10","9","6","Yes"
"2019/12/08 3:28:56 PM GMT+1","8","7","8","8","9","9","8","8","7","7","7","3","8","8","8","6","Yes"
"2019/12/08 3:30:17 PM GMT+1","7","7","7","8","8","9","8","9","7","8","9","6","8","8","7","6","Yes"
"2019/12/08 3:31:09 PM GMT+1","7","8","8","8","10","9","9","10","8","9","8","","9","10","9","6","Yes"
"2019/12/08 3:31:11 PM GMT+1","8","6","7","8","8","8","8","8","7","7","7","5","8","9","8","6","Yes"
"2019/12/08 3:31:15 PM GMT+1","9","8","9","9","10","10","9","10","8","9","9","6","9","9","10","8","Yes"
"2019/12/08 3:32:14 PM GMT+1","9","7","8","8","9","8","9","9","8","8","8","","8","9","7","1","Yes"
"2019/12/08 3:32:20 PM GMT+1","8","8","9","9","8","10","9","10","8","9","8","6","9","9","10","8","Yes"
"2019/12/08 3:32:42 PM GMT+1","8","8","8","8","10","9","9","9","9","9","8","6","9","9","10","7","Yes"
"2019/12/08 3:32:49 PM GMT+1","9","6","6","7","10","9","9","9","7","7","8","5","7","10","7","6","Yes"
"2019/12/08 3:32:59 PM GMT+1","9","8","7","7","9","8","8","8","7","7","8","6","8","10","8","5","Yes"
"2019/12/08 3:34:25 PM GMT+1","10","8","7","7","10","9","9","10","8","9","9","6","8","8","7","4","Yes"
"2019/12/08 3:35:34 PM GMT+1","9","7","8","10","10","10","10","10","9","9","9","7","10","10","10","1","Yes"
"2019/12/08 3:36:02 PM GMT+1","9","8","8","7","10","9","9","9","8","8","8","","9","8","9","7","Yes"
"2019/12/08 3:36:45 PM GMT+1","8","7","7","8","10","9","8","10","8","8","9","6","10","9","8","5","Yes"
"2019/12/08 3:37:09 PM GMT+1","8","6","7","7","8","8","8","7","7","7","7","6","9","10","8","7","Yes"
"2019/12/08 3:37:42 PM GMT+1","8","7","9","10","10","10","10","10","7","8","8","","10","10","10","3",""
"2019/12/08 3:39:11 PM GMT+1","8","8","8","8","10","9","8","8","8","9","7","6","8","7","9","7","Yes"
"2019/12/08 3:39:53 PM GMT+1","9","8","9","10","10","9","10","9","8","9","9","7","10","10","10","5","Yes"
"2019/12/08 3:40:02 PM GMT+1","8","7","8","8","10","9","9","9","9","9","8","1","8","10","9","4","Yes"
"2019/12/08 3:41:12 PM GMT+1","8","6","7","7","9","8","7","8","6","8","7","1","8","8","8","4","Yes"
"2019/12/08 3:41:26 PM GMT+1","8","7","7","7","10","8","8","8","7","9","8","6","10","10","9","1","Yes"
"2019/12/08 3:42:00 PM GMT+1","8","7","7","7","9","8","9","8","7","8","5","6","9","10","9","5","Yes"
"2019/12/08 3:42:16 PM GMT+1","8","7","7","7","8","8","7","8","7","7","8","6","9","9","8","5","Yes"
"2019/12/08 3:43:00 PM GMT+1","7","6","7","8","9","8","8","7","5","7","9","3","10","10","8","4","No"
"2019/12/08 3:45:03 PM GMT+1","8","7","6","8","9","9","7","8","7","7","8","6","10","8","8","7","Yes"
"2019/12/08 3:45:41 PM GMT+1","8","7","7","7","10","8","9","9","6","8","8","5","8","9","8","8","Yes"
"2019/12/08 3:45:55 PM GMT+1","8","7","8","7","9","8","8","9","8","8","8","6","9","10","9","5","Yes"
"2019/12/08 3:46:36 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","6","10","10","10","7","Yes"
"2019/12/08 3:46:36 PM GMT+1","9","8","8","9","9","10","9","9","9","9","8","8","10","9","10","7","Yes"
"2019/12/08 3:47:10 PM GMT+1","8","7","7","9","10","8","7","8","7","7","9","2","8","10","9","7","Yes"
"2019/12/08 3:48:03 PM GMT+1","7","7","7","8","9","8","8","9","8","8","7","6","9","10","9","4","Yes"
"2019/12/08 3:48:55 PM GMT+1","9","7","8","7","10","8","8","9","8","8","8","","8","8","8","6","Yes"
"2019/12/08 3:50:29 PM GMT+1","8","8","8","9","10","8","7","9","8","9","8","6","9","9","9","5","Yes"
