"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 8:35:20 PM GMT+1","5","6","7","6","8","6","7","7","7","8","9","7","4","7","1","8","3","No"
"2019/08/25 8:35:33 PM GMT+1","5","6","5","3","7","5","6","5","4","6","6","5","5","3","1","5","5","No"
"2019/08/25 8:36:04 PM GMT+1","5","5","6","6","7","7","7","6","4","7","7","5","5","6","3","6","2","No"
"2019/08/25 8:38:47 PM GMT+1","7","7","8","7","8","7","7","7","6","9","7","6","6","5","5","5","8","No"
"2019/08/25 8:39:04 PM GMT+1","3","3","4","3","4","5","4","4","4","6","6","4","2","2","1","4","4","No"
"2019/08/25 8:39:07 PM GMT+1","4","5","6","4","6","5","6","6","5","7","6","6","5","5","5","5","6","No"
"2019/08/25 8:39:43 PM GMT+1","7","5","6","5","6","6","5","6","3","7","7","5","6","5","5","3","8","No"
"2019/08/25 8:40:02 PM GMT+1","4","6","6","5","7","6","7","6","5","7","6","6","6","4","1","3","1","No"
"2019/08/25 8:41:41 PM GMT+1","4","5","5","4","5","6","6","5","3","7","6","5","5","6","1","6","5","No"
"2019/08/25 8:42:20 PM GMT+1","3","4","4","4","6","5","6","3","2","6","4","5","3","2","1","5","6","No"
"2019/08/25 8:45:23 PM GMT+1","4","7","6","5","6","7","6","4","4","5","6","6","3","4","1","4","1","No"
"2019/08/25 8:46:07 PM GMT+1","3","3","3","4","6","5","6","4","3","6","5","4","2","3","3","5","8","Yes"
"2019/08/25 8:46:25 PM GMT+1","4","5","5","4","7","7","7","6","2","6","5","6","4","4","1","3","7","No"
