"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 8:05:00 PM GMT+2","5","7","9","7","6","6","6","6","7","6","6","6","7","6","4","4","8","Yes"
"2020/03/02 8:06:12 PM GMT+2","7","6","7","5","6","6","6","7","8","7","6","6","5","6","7","6","7","No"
"2020/03/02 8:07:01 PM GMT+2","3","6","8","5","5","7","6","6","8","6","5","","","6","6","4","6","No"
"2020/03/02 8:07:44 PM GMT+2","7","8","8","8","8","8","7","7","8","6","6","5","7","6","6","6","7","No"
"2020/03/02 8:08:43 PM GMT+2","4","6","8","7","6","6","8","5","9","3","3","5","5","4","4","7","7","No"
"2020/03/02 8:12:02 PM GMT+2","6","7","9","6","6","7","8","7","8","6","6","7","5","6","5","6","7","No"
"2020/03/02 8:14:39 PM GMT+2","3","6","8","5","6","6","6","5","7","4","5","5","4","6","5","5","5","No"
"2020/03/02 8:15:42 PM GMT+2","3","7","8","8","5","7","7","6","9","7","6","","","6","3","5","9","No"
"2020/03/02 8:17:41 PM GMT+2","5","7","9","6","6","8","7","6","7","5","6","","","7","6","7","7","Yes"
"2020/03/02 8:18:26 PM GMT+2","4","7","7","6","6","7","6","7","8","5","5","5","5","6","4","6","7","No"
"2020/03/02 8:18:47 PM GMT+2","3","7","6","5","5","6","6","6","7","5","5","6","","4","3","5","8","No"
"2020/03/02 8:20:44 PM GMT+2","5","7","8","7","7","7","7","6","8","6","6","6","6","7","6","7","7","No"
"2020/03/02 8:22:15 PM GMT+2","4","9","10","7","9","9","8","8","9","6","6","","","7","6","8","9","No"
"2020/03/02 8:22:17 PM GMT+2","4","7","8","7","7","8","9","6","8","6","4","5","5","6","5","8","8","No"
"2020/03/02 8:22:51 PM GMT+2","1","6","9","4","5","5","8","6","8","6","5","6","5","5","4","5","7","No"
"2020/03/02 8:24:01 PM GMT+2","5","7","8","5","6","6","7","6","8","6","5","5","5","6","5","6","5","No"
"2020/03/02 8:28:28 PM GMT+2","5","8","7","7","5","8","7","6","8","6","7","6","7","7","6","7","7","No"
"2020/03/02 8:33:25 PM GMT+2","6","8","9","7","7","7","7","6","8","6","6","7","7","6","6","6","7","No"
"2020/03/02 8:36:00 PM GMT+2","5","7","8","6","6","7","8","6","9","5","5","4","5","6","5","6","6","No"
"2020/03/02 8:37:35 PM GMT+2","4","6","9","7","6","7","7","6","10","6","7","6","6","7","4","8","7","Yes"
"2020/03/02 8:37:54 PM GMT+2","5","6","8","6","7","7","7","6","9","8","7","7","7","6","8","6","8","No"
"2020/03/02 8:38:40 PM GMT+2","4","8","10","6","6","7","8","7","9","7","3","","","6","5","6","8","No"
"2020/03/02 8:40:15 PM GMT+2","5","7","9","6","7","7","8","6","8","6","6","5","5","6","5","6","6","No"
"2020/03/02 8:42:37 PM GMT+2","6","7","9","7","6","6","6","6","8","6","6","","","6","5","6","7","No"
"2020/03/02 8:43:39 PM GMT+2","5","5","7","4","4","3","3","5","6","4","2","4","4","2","3","1","5","No"
"2020/03/02 8:43:56 PM GMT+2","8","8","9","8","8","9","9","9","9","7","6","6","6","7","5","5","8","No"
"2020/03/02 8:45:27 PM GMT+2","3","5","9","7","8","10","8","8","10","7","8","8","8","7","6","8","7","Yes"
"2020/03/02 8:52:02 PM GMT+2","5","8","8","6","6","6","8","6","8","7","6","","","6","5","5","8","No"
"2020/03/02 8:52:08 PM GMT+2","6","7","6","6","6","7","7","7","8","7","7","6","6","6","5","7","6","Yes"
"2020/03/02 8:53:52 PM GMT+2","3","6","8","6","7","6","7","5","8","5","6","6","6","6","5","6","7","No"
"2020/03/02 9:00:46 PM GMT+2","4","8","9","7","8","7","9","5","8","6","6","5","2","2","5","6","8","No"
"2020/03/02 9:02:03 PM GMT+2","4","6","7","4","3","5","6","4","7","4","3","5","5","5","4","4","7","No"
"2020/03/02 9:02:05 PM GMT+2","6","8","8","7","6","6","5","6","7","6","6","","","6","1","7","8","Yes"
"2020/03/02 9:04:07 PM GMT+2","2","7","9","6","6","7","6","5","8","5","5","","","5","6","6","5","No"
"2020/03/02 9:07:03 PM GMT+2","6","7","9","6","8","8","8","7","10","7","6","6","7","7","6","8","9","No"
"2020/03/02 9:07:17 PM GMT+2","4","6","9","7","6","8","8","7","9","6","5","7","7","6","6","7","8","No"
"2020/03/02 9:07:29 PM GMT+2","4","6","7","5","6","6","5","5","7","6","5","","","6","4","6","5","No"
"2020/03/02 9:08:55 PM GMT+2","4","7","7","7","6","7","8","8","10","6","4","5","6","7","7","5","8","No"
"2020/03/02 9:09:58 PM GMT+2","4","7","8","7","7","7","7","7","8","7","6","","","6","5","5","6","No"
"2020/03/02 9:10:44 PM GMT+2","6","7","8","5","6","6","7","6","8","7","5","6","6","6","6","6","8","No"
"2020/03/02 9:12:44 PM GMT+2","5","6","8","6","6","7","7","6","8","6","6","7","6","7","6","7","5","No"
"2020/03/02 9:13:57 PM GMT+2","4","7","8","5","6","6","7","5","7","6","5","6","","5","5","7","5","No"
"2020/03/02 9:16:06 PM GMT+2","4","9","9","5","6","7","9","7","10","5","5","7","7","8","9","10","8","No"
"2020/03/02 9:17:48 PM GMT+2","5","4","9","4","7","5","9","6","7","5","5","1","1","3","1","1","7","Yes"
"2020/03/02 9:18:54 PM GMT+2","5","7","10","6","7","8","8","7","8","7","5","8","","5","6","7","8","No"
"2020/03/02 9:19:39 PM GMT+2","6","6","8","6","5","7","7","6","7","5","5","6","6","5","6","7","8","No"
"2020/03/02 9:20:22 PM GMT+2","2","7","10","5","5","6","6","5","8","6","5","","","7","6","4","2","No"
"2020/03/02 9:24:26 PM GMT+2","2","7","9","6","6","6","7","6","8","5","5","5","6","6","3","6","8","Yes"
"2020/03/02 9:25:07 PM GMT+2","5","8","9","6","7","7","8","6","8","5","5","5","6","5","1","4","6","No"
"2020/03/02 9:25:16 PM GMT+2","5","6","9","6","5","6","7","5","8","5","5","5","5","5","5","5","5","No"
"2020/03/02 9:25:41 PM GMT+2","4","6","9","6","6","7","8","7","9","6","6","6","6","6","5","6","5","No"
"2020/03/02 9:26:28 PM GMT+2","5","6","7","6","6","7","8","6","7","5","5","","","6","5","6","6","No"
"2020/03/02 9:27:15 PM GMT+2","5","9","10","5","7","6","9","5","9","5","4","","","9","7","5","8","No"
"2020/03/02 9:28:55 PM GMT+2","5","7","7","6","8","7","6","8","9","6","7","6","5","6","5","6","8","Yes"
"2020/03/02 9:29:21 PM GMT+2","6","8","9","7","7","7","8","7","8","7","6","8","7","7","6","7","9","No"
