"Timestamp","De  Gea","Shaw","Bailly","Maguire","Williams","Matic","Fred","AWB","Bruno","Martial","Dan James","Pereira (optional)","Team Performance","Final Result","Ole","Chelsea","Did the ref do a good job?","Did VAR do a good job?"
"2020/02/19 9:50:04 PM GMT+1","8","7","8","9","8","6","8","8","9","7","2","5","8","8","10","7","Yes","Yes"
"2020/02/19 9:50:25 PM GMT+1","6","6","7","8","7","6","8","7","7","7","5","5","8","9","8","6","No","Yes"
"2020/02/19 9:50:56 PM GMT+1","7","6","8","8","8","7","9","8","8","6","6","5","8","10","10","3","Yes","Yes"
"2020/02/19 9:56:27 PM GMT+1","6","6","8","8","7","7","9","8","8","6","6","5","7","9","7","5","No","No"
"2020/02/19 10:08:53 PM GMT+1","7","8","10","10","7","7","9","10","9","8","5","1","8","8","7","4","Yes","Yes"
"2020/02/19 10:09:20 PM GMT+1","7","8","8","8","6","6","8","8","8","5","6","","7","10","7","5","Yes","No"
"2020/02/19 10:10:09 PM GMT+1","7","8","10","9","8","7","10","9","10","6","6","","9","10","10","8","No","Yes"
"2020/02/19 10:14:35 PM GMT+1","7","6","8","9","7","6","8","9","9","8","6","","8","10","8","8","Yes","Yes"
"2020/02/19 10:20:14 PM GMT+1","7","6","7","7","6","6","7","7","7","7","5","","6","6","6","7","Yes","No"
"2020/02/19 10:24:54 PM GMT+1","8","7","10","10","8","7","10","9","9","8","8","","10","10","10","7","Yes","Yes"
"2020/02/19 10:25:31 PM GMT+1","7","9","9","9","7","5","9","6","8","5","5","","6","9","5","3","Yes","Yes"
"2020/02/19 10:28:39 PM GMT+1","6","7","7","9","7","6","8","8","8","6","6","3","7","7","6","5","No","No"
"2020/02/19 10:28:51 PM GMT+1","7","7","9","8","7","7","9","8","9","7","6","6","8","9","9","3","Yes","Yes"
"2020/02/19 10:29:07 PM GMT+1","7","7","8","9","6","6","8","8","8","7","5","","8","9","9","6","No","No"
"2020/02/19 10:30:58 PM GMT+1","7","7","8","9","6","6","7","8","8","8","6","5","7","9","7","7","Yes","No"
"2020/02/19 10:34:38 PM GMT+1","6","7","8","8","6","7","8","7","7","7","5","5","8","8","7","7","Yes","No"
"2020/02/19 10:35:00 PM GMT+1","6","7","8","10","6","6","8","7","7","7","5","","6","9","7","4","No","Yes"
"2020/02/19 10:36:02 PM GMT+1","5","4","7","8","5","6","8","8","8","7","5","4","8","9","8","7","No","Yes"
"2020/02/19 10:37:40 PM GMT+1","6","7","8","8","7","7","8","8","8","8","6","6","7","8","9","6","No","Yes"
"2020/02/19 10:39:22 PM GMT+1","7","8","8","9","6","6","9","8","8","7","6","5","7","9","8","5","No","No"
"2020/02/19 10:45:32 PM GMT+1","7","5","7","8","5","6","8","7","8","6","4","","5","8","5","6","No","No"
"2020/02/19 10:46:38 PM GMT+1","6","7","8","8","7","7","9","7","8","7","4","","8","10","9","3","Yes","Yes"
"2020/02/19 10:47:09 PM GMT+1","7","8","8","9","6","6","8","9","8","6","4","","6","10","7","6","No","Yes"
"2020/02/19 10:53:00 PM GMT+1","7","6","7","6","6","6","7","7","7","7","4","4","6","8","7","6","Yes","Yes"
"2020/02/19 10:58:07 PM GMT+1","7","7","7","8","6","6","8","7","8","6","5","","8","9","8","6","No","Yes"
"2020/02/19 11:17:29 PM GMT+1","7","7","9","9","6","6","6","8","8","7","4","4","7","8","7","5","Yes","No"
"2020/02/19 11:19:20 PM GMT+1","7","7","8","8","7","6","9","9","9","7","5","","6","9","8","4","Yes","Yes"
"2020/02/19 11:19:24 PM GMT+1","6","7","8","9","7","7","8","8","7","8","5","5","7","9","8","5","No","Yes"
"2020/02/19 11:19:45 PM GMT+1","7","8","9","9","7","7","10","8","8","7","6","","7","10","9","6","Yes","Yes"
"2020/02/19 11:20:06 PM GMT+1","6","7","7","8","6","7","8","7","7","7","6","","7","9","7","6","Yes","No"
"2020/02/19 11:24:04 PM GMT+1","7","7","9","9","7","6","9","9","9","7","6","4","8","10","9","3","Yes","Yes"
"2020/02/19 11:25:18 PM GMT+1","6","7","9","9","7","6","9","8","9","7","6","6","8","10","8","4","Yes","No"
"2020/02/19 11:30:59 PM GMT+1","8","8","7","9","8","7","9","9","9","8","7","","8","10","9","5","","Yes"
"2020/02/19 11:35:52 PM GMT+1","7","8","8","9","7","7","9","9","7","7","7","","7","10","8","8","Yes","No"
"2020/02/19 11:36:00 PM GMT+1","7","7","8","5","5","7","8","7","7","7","6","","7","9","7","8","No","No"
"2020/02/19 11:37:55 PM GMT+1","8","7","9","9","8","6","9","8","8","7","6","6","6","10","6","6","Yes","No"
"2020/02/19 11:48:17 PM GMT+1","7","7","7","8","7","7","8","7","7","7","5","5","7","8","8","5","Yes","No"
"2020/02/19 11:51:16 PM GMT+1","7","7","8","9","7","7","8","8","8","7","6","5","7","9","8","6","No","No"
"2020/02/19 11:51:41 PM GMT+1","7","6","7","9","6","5","6","7","7","7","6","","8","8","9","7","No","No"
"2020/02/19 11:53:10 PM GMT+1","7","7","8","8","7","7","8","8","8","8","6","","8","10","8","6","Yes","No"
"2020/02/19 11:55:50 PM GMT+1","8","8","9","10","7","8","9","9","8","6","5","","6","9","9","4","Yes","No"
"2020/02/19 11:57:40 PM GMT+1","6","7","7","7","7","6","9","8","8","7","5","","7","10","9","4","Yes","No"
"2020/02/19 11:59:16 PM GMT+1","7","7","7","8","7","7","9","8","9","7","6","","8","9","8","4","No","No"
"2020/02/20 12:00:34 AM GMT+1","8","8","8","8","7","7","9","8","8","8","5","","7","10","8","6","Yes","Yes"
"2020/02/20 12:02:01 AM GMT+1","8","6","8","9","8","8","10","9","9","3","6","4","8","10","9","3","No","No"
"2020/02/20 12:02:51 AM GMT+1","6","7","8","8","7","7","9","8","8","7","7","6","7","10","10","5","Yes","Yes"
"2020/02/20 12:03:36 AM GMT+1","7","7","7","8","7","6","8","8","8","7","5","7","6","9","6","7","Yes","No"
"2020/02/20 12:10:09 AM GMT+1","6","8","8","9","7","7","9","8","8","7","6","","8","10","9","4","Yes","Yes"
"2020/02/20 12:26:16 AM GMT+1","6","6","7","8","6","6","7","7","7","7","5","","7","9","8","5","No","Yes"
"2020/02/20 12:26:45 AM GMT+1","8","8","9","8","7","7","9","8","9","7","6","6","7","10","8","6","No","No"
"2020/02/20 12:30:11 AM GMT+1","7","7","8","9","7","6","10","9","9","6","6","6","8","10","9","6","No","No"
"2020/02/20 12:37:02 AM GMT+1","7","8","9","9","7","7","9","9","9","7","5","5","8","10","7","6","Yes","Yes"
"2020/02/20 12:40:02 AM GMT+1","6","7","7","9","7","6","8","8","8","8","6","6","7","8","8","6","No","No"
"2020/02/20 12:46:07 AM GMT+1","7","7","8","9","7","7","8","8","8","7","6","6","8","10","8","6","Yes","No"
"2020/02/20 1:01:24 AM GMT+1","8","9","9","9","9","8","9","9","9","9","8","5","9","9","9","5","Yes","Yes"
"2020/02/20 1:05:02 AM GMT+1","7","7","8","8","7","8","7","8","7","7","6","4","7","8","8","6","Yes","Yes"
"2020/02/20 1:17:55 AM GMT+1","8","8","7","9","7","6","8","7","8","7","6","","7","8","9","5","Yes","Yes"
"2020/02/20 1:25:35 AM GMT+1","7","8","9","10","6","8","10","8","9","8","8","","8","10","9","6","No","Yes"
"2020/02/20 1:26:30 AM GMT+1","7","6","8","8","7","5","8","7","7","6","5","3","8","10","8","6","Yes","No"
"2020/02/20 1:27:50 AM GMT+1","7","6","6","6","5","5","7","7","7","6","3","","5","10","5","3","No","No"
"2020/02/20 1:40:35 AM GMT+1","6","7","8","8","7","7","7","8","7","7","6","","7","8","8","6","No","Yes"
"2020/02/20 1:58:07 AM GMT+1","7","6","8","6","6","7","7","7","7","7","7","","8","10","10","5","No","No"
"2020/02/20 1:59:26 AM GMT+1","7","9","8","9","8","6","9","9","9","9","8","7","10","10","10","6","Yes","No"
"2020/02/20 2:02:28 AM GMT+1","8","7","10","9","7","8","9","9","9","8","7","3","8","10","8","7","No","Yes"
"2020/02/20 2:05:15 AM GMT+1","8","8","8","10","6","7","8","9","8","7","4","","8","8","8","4","No","Yes"
"2020/02/20 2:06:14 AM GMT+1","7","7","8","8","7","7","8","7","7","5","5","1","7","10","7","7","No","No"
"2020/02/20 2:06:44 AM GMT+1","7","7","8","9","7","7","9","8","9","6","6","4","8","9","9","5","Yes","Yes"
"2020/02/20 2:32:41 AM GMT+1","8","8","8","9","7","7","9","8","7","7","6","","7","9","9","6","No","No"
"2020/02/20 2:45:01 AM GMT+1","7","8","8","8","8","7","8","8","7","7","6","","8","10","8","6","No","No"
