"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Bruno","Rashford","Greenwood","Martial","Fred","Williams (you are free not to vote)","Team Performance","Final Result","Ole","Southampton","Did the ref do a good job?"
"2020/07/14 8:38:52 PM GMT+2","9","8","8","8","8","7","8","7","7","7","10","7","7","6","5","7","5","No"
"2020/07/14 8:39:06 PM GMT+2","6","6","5","6","4","4","5","4","6","3","8","4","","6","5","6","6","No"
"2020/07/14 8:39:11 PM GMT+2","7","8","6","7","7","7","8","7","8","6","9","7","","6","2","7","7","No"
"2020/07/14 8:40:37 PM GMT+2","6","8","6","7","5","6","8","6","7","5","9","5","5","6","3","7","7","No"
"2020/07/14 8:41:22 PM GMT+2","6","7","6","7","6","7","6","6","7","6","8","6","6","6","6","6","8","No"
"2020/07/14 8:41:43 PM GMT+2","7","6","6","6","5","6","5","6","6","4","9","5","5","4","3","6","9","No"
"2020/07/14 8:43:42 PM GMT+2","6","8","6","6","6","6","7","8","8","7","8","6","","6","5","7","5","No"
"2020/07/14 8:45:03 PM GMT+2","8","8","7","9","6","6","7","6","8","6","8","7","","7","6","8","8","No"
"2020/07/14 8:45:03 PM GMT+2","6","7","6","6","5","6","6","5","7","5","9","6","","6","6","6","8","No"
"2020/07/14 8:45:08 PM GMT+2","7","8","6","8","7","5","8","5","10","8","9","6","7","9","6","5","9","No"
"2020/07/14 8:45:22 PM GMT+2","8","8","6","7","6","7","7","7","8","7","9","7","7","7","5","8","7","No"
"2020/07/14 8:46:08 PM GMT+2","6","7","5","6","5","5","6","5","7","6","8","6","6","6","5","6","9","No"
"2020/07/14 8:46:14 PM GMT+2","8","9","7","9","7","5","6","6","8","5","9","6","","7","4","5","7","No"
"2020/07/14 8:46:54 PM GMT+2","7","8","6","7","6","5","7","5","8","5","9","5","7","5","3","5","8","Yes"
"2020/07/14 8:47:00 PM GMT+2","8","8","6","9","7","6","6","6","7","6","9","6","","7","7","8","9","No"
"2020/07/14 8:47:08 PM GMT+2","7","8","6","7","8","6","6","7","8","5","9","6","","6","6","5","9","Yes"
