"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 7:35:28 PM GMT+2","7","8","7","8","7","8","9","6","10","9","7","3","6","6","10","9","10","3","Yes"
"2020/07/01 7:35:32 PM GMT+2","8","8","9","7","8","8","8","6","9","9","6","6","7","7","9","10","10","4","Yes"
"2020/07/01 7:35:54 PM GMT+2","8","10","8","5","7","7","8","6","9","9","3","4","7","5","9","10","10","5","Yes"
"2020/07/01 7:36:04 PM GMT+2","8","8","8","7","8","8","9","7","9","9","8","","","","8","8","10","4","Yes"
"2020/07/01 7:36:15 PM GMT+2","8","7","7","8","8","9","10","7","10","9","8","7","5","7","9","9","9","9","Yes"
"2020/07/01 7:36:15 PM GMT+2","7","7","7","7","8","8","9","6","9","9","6","7","7","7","8","8","7","5","Yes"
"2020/07/01 7:36:40 PM GMT+2","8","9","8","8","9","9","10","7","9","10","7","7","7","8","9","9","9","4","Yes"
"2020/07/01 7:36:45 PM GMT+2","8","7","7","7","8","6","7","6","8","8","6","4","6","6","9","10","10","4","Yes"
"2020/07/01 7:37:08 PM GMT+2","7","7","7","7","7","8","8","6","9","9","5","6","6","7","9","9","9","6","Yes"
"2020/07/01 7:37:19 PM GMT+2","7","8","7","8","7","7","8","4","9","9","5","4","4","6","8","9","9","4","Yes"
"2020/07/01 7:37:23 PM GMT+2","8","8","8","9","8","9","10","5","10","10","6","","","","9","10","10","3","Yes"
"2020/07/01 7:37:27 PM GMT+2","8","7","8","7","9","8","9","7","10","9","8","6","5","7","10","9","9","6","Yes"
"2020/07/01 7:38:53 PM GMT+2","8","9","8","8","8","8","9","6","10","10","7","5","6","6","9","9","9","6",""
"2020/07/01 7:39:03 PM GMT+2","9","8","8","7","7","8","9","7","10","10","7","6","7","7","10","10","10","6","Yes"
"2020/07/01 7:39:08 PM GMT+2","7","8","7","7","7","8","8","6","9","9","6","5","6","7","9","9","9","4","No"
"2020/07/01 7:40:32 PM GMT+2","7","8","7","7","8","7","8","7","10","8","7","5","5","7","9","8","8","3","Yes"
"2020/07/01 7:41:38 PM GMT+2","8","8","8","9","9","9","9","8","9","8","7","7","6","7","9","10","10","6","Yes"
"2020/07/01 7:41:51 PM GMT+2","8","9","7","7","8","8","9","7","10","9","8","6","6","7","9","10","9","5","Yes"
"2020/07/01 7:42:23 PM GMT+2","9","7","7","7","8","9","9","4","9","9","7","6","6","6","8","9","9","7","Yes"
"2020/07/01 7:43:54 PM GMT+2","7","6","6","7","8","8","8","5","9","9","5","6","6","7","8","9","9","7","Yes"
"2020/07/01 7:44:14 PM GMT+2","7","8","7","7","8","8","10","6","9","10","7","6","6","7","8","10","9","3","Yes"
"2020/07/01 7:44:24 PM GMT+2","7","9","7","7","8","8","9","7","9","9","8","7","6","8","9","10","10","4","Yes"
"2020/07/01 7:44:51 PM GMT+2","9","9","8","7","7","6","8","5","7","10","5","5","10","10","8","10","10","1","Yes"
"2020/07/01 7:45:01 PM GMT+2","7","7","7","7","7","7","8","7","8","8","7","6","6","6","8","8","8","5","Yes"
"2020/07/01 7:45:10 PM GMT+2","9","7","7","6","8","8","9","6","9","8","6","6","7","7","8","8","10","3","Yes"
"2020/07/01 7:45:52 PM GMT+2","8","8","8","9","8","9","10","7","10","9","8","6","6","7","9","10","10","2","Yes"
"2020/07/01 7:46:48 PM GMT+2","6","7","8","8","8","8","9","6","10","9","6","5","5","7","9","9","10","4","No"
"2020/07/01 7:47:10 PM GMT+2","7","9","7","7","8","8","9","7","9","9","7","6","6","8","9","9","8","7","Yes"
"2020/07/01 7:47:11 PM GMT+2","8","8","8","7","7","7","9","6","10","10","4","6","5","6","7","10","9","5","Yes"
"2020/07/01 7:48:15 PM GMT+2","8","8","7","7","8","9","9","6","10","9","6","6","6","7","9","9","9","5","Yes"
"2020/07/01 7:49:04 PM GMT+2","8","7","8","7","7","7","10","7","10","9","7","6","7","7","10","10","10","5","Yes"
"2020/07/01 7:49:21 PM GMT+2","8","8","8","7","8","9","8","7","10","10","7","6","6","7","9","10","10","4","Yes"
