"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 2:06:07 PM GMT+1","3","5","3","2","2","4","5","4","1","2","1","6","","","1","1","2","9","Yes","Yes"
"2020/01/25 2:10:08 PM GMT+1","5","5","4","3","4","5","5","5","2","2","2","3","3","3","1","1","3","5","Yes","Yes"
"2020/01/25 2:10:28 PM GMT+1","5","5","4","5","5","5","5","4","2","4","3","","","","1","2","4","6","",""
"2020/01/25 2:14:05 PM GMT+1","5","6","3","6","6","5","6","5","4","5","4","5","3","5","4","6","3","7","Yes","Yes"
"2020/01/25 2:15:20 PM GMT+1","6","6","6","6","6","6","6","6","6","4","3","6","6","6","3","1","1","8","Yes","Yes"
"2020/01/25 2:15:23 PM GMT+1","6","5","1","4","6","6","4","4","1","3","3","5","4","3","1","1","1","5","Yes","Yes"
"2020/01/25 2:20:11 PM GMT+1","6","5","5","4","6","4","5","4","2","5","3","","4","6","3","1","3","4","No","No"
"2020/01/25 2:22:48 PM GMT+1","8","6","6","5","7","7","7","8","1","4","4","7","6","6","8","1","8","5","Yes","Yes"
"2020/01/25 2:24:00 PM GMT+1","6","6","3","4","7","6","6","4","2","2","2","4","2","3","2","1","2","7","No","Yes"
"2020/01/25 2:26:12 PM GMT+1","4","4","3","6","7","6","4","4","4","5","2","4","4","4","4","1","6","3","No","No"
"2020/01/25 2:28:35 PM GMT+1","6","8","5","8","7","7","8","7","6","6","7","8","7","7","5","5","6","7","No","No"
"2020/01/25 2:30:09 PM GMT+1","3","5","2","6","4","6","6","4","3","4","4","6","4","5","1","1","7","1","Yes","Yes"
"2020/01/25 2:30:12 PM GMT+1","2","6","3","4","6","4","8","4","1","3","4","3","1","3","1","1","1","2","No","No"
"2020/01/25 2:30:29 PM GMT+1","6","7","6","7","8","6","6","6","6","6","6","6","6","6","4","1","5","4","Yes","Yes"
"2020/01/25 2:34:05 PM GMT+1","5","5","3","4","6","6","6","4","3","4","4","4","4","5","4","1","1","7","Yes","Yes"
"2020/01/25 2:34:14 PM GMT+1","4","4","4","4","4","4","6","3","2","3","3","","","","4","3","5","6","No","Yes"
"2020/01/25 2:34:20 PM GMT+1","5","5","3","3","4","4","5","4","4","3","3","4","3","4","3","3","2","5","No","No"
"2020/01/25 2:37:38 PM GMT+1","4","6","2","3","4","4","4","2","1","2","1","2","1","4","1","1","1","8","No","Yes"
"2020/01/25 2:38:27 PM GMT+1","3","8","3","4","6","5","6","6","1","3","3","5","2","4","4","4","7","6","Yes","Yes"
