"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 3:28:47 PM GMT+1","7","7","8","7","8","8","7","8","6","9","9","7","6","6","8","9","9","6","Yes"
"2019/12/27 3:30:13 PM GMT+1","7","7","7","7","7","6","6","8","6","9","9","8","2","5","8","8","8","4","Yes"
"2019/12/27 3:30:50 PM GMT+1","6","7","7","7","8","8","5","8","7","8","9","10","6","6","8","8","7","6","Yes"
"2019/12/27 3:31:23 PM GMT+1","6","6","6","6","8","6","5","6","6","8","7","6","7","6","6","7","7","1","No"
"2019/12/27 3:31:26 PM GMT+1","7","6","8","7","8","7","5","7","7","8","9","7","4","6","8","8","7","6","Yes"
"2019/12/27 3:33:20 PM GMT+1","6","7","8","7","7","9","7","8","7","7","8","7","6","7","8","8","10","6","Yes"
"2019/12/27 3:34:33 PM GMT+1","6","5","7","7","8","9","6","7","7","9","9","7","6","6","9","9","9","4","Yes"
"2019/12/27 3:35:42 PM GMT+1","7","7","8","7","7","9","7","8","8","8","9","8","7","8","7","10","8","3","Yes"
"2019/12/27 3:36:12 PM GMT+1","3","2","4","3","5","7","5","8","7","10","9","6","1","8","7","10","5","6","Yes"
"2019/12/27 3:36:20 PM GMT+1","6","6","7","7","7","8","6","7","6","7","8","7","5","6","7","9","7","2","Yes"
"2019/12/27 3:37:05 PM GMT+1","7","6","8","7","9","7","5","8","7","8","9","7","5","4","8","8","8","5",""
"2019/12/27 3:37:56 PM GMT+1","7","6","7","6","8","8","7","7","7","7","9","8","5","5","7","10","10","4","Yes"
"2019/12/27 3:39:09 PM GMT+1","6","6","7","7","7","7","6","8","7","9","10","8","6","6","7","9","9","2","No"
"2019/12/27 3:39:17 PM GMT+1","6","6","7","8","8","9","7","8","7","9","10","8","","","7","9","8","2","Yes"
"2019/12/27 3:43:25 PM GMT+1","7","5","7","7","8","8","6","7","7","8","8","7","","","8","8","8","4","Yes"
"2019/12/27 3:43:39 PM GMT+1","6","7","7","6","7","7","6","7","7","7","8","7","6","","7","8","7","4","Yes"
"2019/12/27 3:43:59 PM GMT+1","7","8","8","7","8","8","7","8","5","9","9","9","5","5","9","10","9","4","Yes"
"2019/12/27 3:44:04 PM GMT+1","7","8","8","6","8","9","6","9","8","9","10","8","8","8","8","9","8","6","Yes"
"2019/12/27 3:44:13 PM GMT+1","6","6","7","7","8","7","6","9","8","9","9","7","6","6","8","10","9","4","No"
"2019/12/27 3:45:24 PM GMT+1","6","6","7","6","7","7","5","8","6","8","8","9","5","6","7","8","7","4","Yes"
"2019/12/27 3:46:21 PM GMT+1","6","7","7","7","7","7","7","8","7","8","9","","","","8","9","8","4",""
"2019/12/27 3:47:29 PM GMT+1","6","5","6","6","8","8","5","7","7","8","9","6","","8","9","8","8","3","Yes"
"2019/12/27 3:49:33 PM GMT+1","6","7","7","7","8","8","6","7","7","7","9","7","5","7","7","7","7","2","Yes"
"2019/12/27 3:49:35 PM GMT+1","6","5","7","6","7","6","6","8","7","8","8","7","6","6","8","8","8","5","No"
"2019/12/27 3:49:47 PM GMT+1","6","5","6","7","8","8","6","6","6","7","8","6","6","6","6","7","6","5","Yes"
"2019/12/27 3:52:26 PM GMT+1","7","8","9","8","9","8","6","7","6","9","9","8","7","7","7","8","9","5","Yes"
"2019/12/27 3:54:30 PM GMT+1","7","8","8","8","9","8","7","9","7","8","10","9","7","5","9","8","10","6","Yes"
"2019/12/27 3:58:24 PM GMT+1","6","6","8","7","7","8","6","8","7","9","9","10","7","7","9","9","8","3","Yes"
"2019/12/27 3:59:32 PM GMT+1","4","5","4","10","10","6","8","10","6","10","7","7","4","5","6","10","10","7","Yes"
"2019/12/27 4:00:48 PM GMT+1","7","6","6","7","7","6","5","6","6","7","9","8","5","5","8","7","7","3","Yes"
"2019/12/27 4:02:11 PM GMT+1","5","6","7","6","6","8","5","8","5","8","8","7","5","","6","7","5","6","No"
"2019/12/27 4:03:19 PM GMT+1","6","7","8","6","8","7","5","7","7","8","9","8","","7","7","7","7","3","Yes"
"2019/12/27 4:03:35 PM GMT+1","6","6","6","6","7","6","6","8","8","8","9","7","6","6","7","7","8","6","Yes"
"2019/12/27 4:04:20 PM GMT+1","6","6","8","7","7","7","5","7","6","7","8","7","5","6","8","8","7","4","Yes"
"2019/12/27 4:04:29 PM GMT+1","5","5","7","6","7","7","6","7","6","8","9","8","4","","8","10","9","7","Yes"
"2019/12/27 4:04:37 PM GMT+1","8","8","8","8","9","9","9","10","7","9","10","7","6","7","9","10","8","1","No"
"2019/12/27 4:05:10 PM GMT+1","6","6","8","8","8","9","7","8","7","9","9","9","7","7","8","9","9","3","Yes"
"2019/12/27 4:05:24 PM GMT+1","6","7","7","6","7","7","6","7","7","7","8","7","6","6","7","8","7","7","Yes"
"2019/12/27 4:07:24 PM GMT+1","6","7","7","7","7","6","6","7","8","9","9","7","6","7","8","8","7","3","Yes"
"2019/12/27 4:08:34 PM GMT+1","6","6","8","8","8","8","6","8","6","8","8","7","6","6","9","10","8","1","Yes"
"2019/12/27 4:08:44 PM GMT+1","6","6","6","6","9","6","6","8","7","8","9","7","6","6","8","9","8","4","Yes"
"2019/12/27 4:10:13 PM GMT+1","7","6","7","6","7","7","6","7","8","8","8","7","6","7","7","8","8","5","Yes"
"2019/12/27 4:10:33 PM GMT+1","6","6","5","5","8","7","6","7","7","8","9","7","6","6","9","9","8","3","Yes"
"2019/12/27 4:10:47 PM GMT+1","7","6","7","8","9","8","8","10","7","10","10","8","7","7","10","10","10","3","Yes"
"2019/12/27 4:12:45 PM GMT+1","8","8","7","8","9","8","9","9","7","9","9","9","4","6","8","8","8","7","Yes"
"2019/12/27 4:12:59 PM GMT+1","7","6","7","7","9","8","6","9","8","9","9","9","6","6","9","10","9","3","No"
"2019/12/27 4:13:12 PM GMT+1","6","5","6","4","8","8","8","8","6","8","10","8","3","4","8","9","8","2","No"
