"Timestamp","De Gea","Williams","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Lingard","Team Performance","Final Result","Ole","Leicester","Did the ref do a good job?"
"2020/07/27 10:51:09 PM GMT+2","7","6","8","9","6","7","7","6","6","6","9","10","7","10","8","4","Yes"
"2020/07/27 10:53:16 PM GMT+2","8","6","7","8","8","7","7","9","8","6","9","7","8","10","9","4","No"
"2020/07/27 10:53:51 PM GMT+2","6","7","6","8","7","8","6","5","7","6","6","10","6","10","8","8","No"
"2020/07/27 10:54:54 PM GMT+2","8","8","9","10","8","9","9","8","9","9","9","10","8","10","10","6","No"
"2020/07/27 10:55:46 PM GMT+2","7","8","5","8","7","5","4","4","7","8","7","10","5","10","6","5",""
"2020/07/27 10:56:54 PM GMT+2","6","6","7","8","7","6","7","6","6","7","7","7","7","10","8","5","Yes"
"2020/07/27 10:56:56 PM GMT+2","7","9","7","7","8","8","6","6","8","7","7","8","8","10","9","6","Yes"
"2020/07/27 10:57:44 PM GMT+2","6","6","7","8","8","6","7","7","8","7","7","10","10","10","10","6","No"
"2020/07/27 10:58:39 PM GMT+2","10","6","8","8","8","8","7","6","8","6","6","7","7","10","8","8","Yes"
"2020/07/27 10:59:11 PM GMT+2","6","7","5","8","7","4","7","6","6","6","6","7","8","10","10","6","No"
"2020/07/27 10:59:34 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","Yes"
"2020/07/27 10:59:48 PM GMT+2","9","8","7","10","9","6","4","8","6","7","7","10","8","10","8","7","Yes"
"2020/07/27 10:59:53 PM GMT+2","6","5","5","7","5","7","6","6","7","7","8","7","6","6","7","6","Yes"
"2020/07/27 11:00:16 PM GMT+2","8","6","8","8","8","7","8","7","8","8","8","10","7","7","10","3","No"
"2020/07/27 11:00:23 PM GMT+2","5","4","6","9","7","7","5","5","5","5","7","10","6","6","7","1","Yes"
"2020/07/27 11:00:44 PM GMT+2","6","6","6","8","6","7","6","6","6","6","6","6","7","10","7","5","Yes"
"2020/07/27 11:02:02 PM GMT+2","6","6","6","9","6","7","6","6","7","7","8","10","8","10","9","6","Yes"
"2020/07/27 11:02:08 PM GMT+2","7","7","8","9","9","7","7","6","7","6","6","8","7","10","8","6","Yes"
"2020/07/27 11:02:28 PM GMT+2","5","7","8","9","8","7","6","6","7","7","7","10","7","10","7","4","No"
"2020/07/27 11:02:36 PM GMT+2","7","6","6","9","8","7","6","6","7","7","7","10","7","10","7","7","No"
"2020/07/27 11:03:03 PM GMT+2","6","8","6","7","4","7","6","5","5","5","8","10","7","7","6","9","Yes"
"2020/07/27 11:03:05 PM GMT+2","7","7","7","9","7","7","7","6","7","7","8","8","7","10","8","6","No"
"2020/07/27 11:03:06 PM GMT+2","10","8","9","9","9","8","9","8","9","9","9","10","10","10","10","7","Yes"
"2020/07/27 11:03:44 PM GMT+2","7","7","6","8","6","8","7","6","7","7","7","10","7","9","7","5","Yes"
"2020/07/27 11:03:56 PM GMT+2","6","9","8","8","8","7","7","7","6","7","8","10","6","8","10","7","Yes"
"2020/07/27 11:05:04 PM GMT+2","6","5","5","5","6","5","5","4","6","6","5","6","5","10","5","8","No"
"2020/07/27 11:05:10 PM GMT+2","7","8","8","9","7","7","7","6","6","7","8","10","7","10","8","7","Yes"
"2020/07/27 11:05:45 PM GMT+2","6","7","5","7","6","7","6","5","7","6","7","10","7","10","8","3","Yes"
"2020/07/27 11:06:05 PM GMT+2","7","6","7","8","8","4","7","5","6","5","6","8","6","9","7","4","No"
"2020/07/27 11:06:25 PM GMT+2","10","10","9","10","10","9","9","9","9","9","10","10","9","10","10","9","Yes"
"2020/07/27 11:06:45 PM GMT+2","8","6","8","8","7","8","8","7","8","6","7","10","8","10","8","7","Yes"
"2020/07/27 11:08:02 PM GMT+2","6","6","6","8","6","6","5","5","6","6","6","9","6","6","6","6","Yes"
"2020/07/27 11:08:10 PM GMT+2","5","6","6","8","6","6","7","6","7","7","8","6","7","10","7","4","No"
"2020/07/27 11:08:46 PM GMT+2","6","10","7","9","6","6","7","5","8","10","8","8","6","10","7","6","Yes"
"2020/07/27 11:08:47 PM GMT+2","8","7","7","8","9","7","8","6","7","8","7","8","8","10","10","6","Yes"
"2020/07/27 11:09:09 PM GMT+2","5","6","6","9","7","7","6","6","6","7","8","9","7","9","8","5","Yes"
"2020/07/27 11:09:18 PM GMT+2","8","5","6","7","8","6","7","6","6","8","8","10","7","10","8","3","Yes"
"2020/07/27 11:09:38 PM GMT+2","8","8","8","8","8","7","7","7","8","7","8","8","7","8","7","6","No"
"2020/07/27 11:09:48 PM GMT+2","6","5","6","8","6","5","5","4","6","6","6","5","5","8","7","4","Yes"
"2020/07/27 11:09:56 PM GMT+2","9","9","8","10","9","7","8","7","10","10","10","10","10","10","10","7","Yes"
"2020/07/27 11:10:09 PM GMT+2","7","6","6","8","7","6","7","7","8","7","8","8","10","10","10","10","Yes"
