"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 9:33:46 PM GMT+1","5","5","6","4","9","6","5","5","5","9","4","4","4","5","3","5","5","Yes"
"2019/08/31 9:34:17 PM GMT+1","7","5","6","4","5","6","4","5","5","7","5","6","6","6","3","7","8","Yes"
"2019/08/31 9:34:47 PM GMT+1","5","6","6","3","7","7","6","2","6","8","2","4","6","4","3","3","5","No"
"2019/08/31 9:35:18 PM GMT+1","7","8","8","5","9","7","8","6","8","9","5","2","5","6","5","6","7","Yes"
"2019/08/31 9:36:02 PM GMT+1","7","6","6","5","8","7","7","5","6","7","6","4","3","5","1","6","4","Yes"
"2019/08/31 9:36:25 PM GMT+1","5","6","6","4","7","6","6","4","7","7","4","4","5","5","1","1","7","Yes"
"2019/08/31 9:36:28 PM GMT+1","6","6","7","5","7","6","5","4","7","8","5","4","5","6","1","5","6","No"
"2019/08/31 9:37:06 PM GMT+1","5","7","6","6","8","6","5","3","6","9","5","5","6","7","3","6","4",""
"2019/08/31 9:37:18 PM GMT+1","7","4","7","5","8","6","4","2","4","8","3","2","1","6","4","5","8","Yes"
"2019/08/31 9:38:07 PM GMT+1","5","6","7","5","8","7","5","6","8","9","1","1","6","6","1","6","5","No"
"2019/08/31 9:40:28 PM GMT+1","7","7","7","6","6","7","5","4","6","8","5","3","3","6","4","7","8","Yes"
"2019/08/31 9:41:02 PM GMT+1","5","5","5","3","6","6","6","5","6","8","6","5","4","4","5","6","6","Yes"
"2019/08/31 9:41:04 PM GMT+1","6","6","7","5","7","7","4","2","6","7","2","2","6","5","4","5","3","Yes"
"2019/08/31 9:47:12 PM GMT+1","6","6","6","6","7","8","5","5","6","8","4","4","5","4","3","5","6","Yes"
"2019/08/31 9:50:31 PM GMT+1","5","7","7","6","8","5","7","6","4","8","6","3","5","5","3","5","8","Yes"
