"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 5:04:59 PM GMT+2","5","7","5","7","7","6","8","8","10","10","9","6","8","7","7","7","8","4","No"
"2020/07/07 5:05:04 PM GMT+2","4","8","5","7","8","7","8","8","9","10","9","3","7","7","8","8","8","3","Yes"
"2020/07/07 5:06:28 PM GMT+2","3","7","3","8","4","9","9","8","10","9","8","4","7","6","8","8","9","6","No"
"2020/07/07 5:06:43 PM GMT+2","4","6","4","6","7","4","7","7","9","9","7","4","6","5","7","8","8","3",""
"2020/07/07 5:06:43 PM GMT+2","4","8","6","7","8","8","9","9","10","10","9","7","8","8","10","9","10","6","Yes"
"2020/07/07 5:06:45 PM GMT+2","5","5","3","2","4","5","6","6","8","9","7","4","6","6","7","6","7","5","No"
"2020/07/07 5:07:03 PM GMT+2","6","8","4","7","8","7","9","9","10","10","9","7","7","6","9","9","10","6","Yes"
"2020/07/07 5:07:57 PM GMT+2","6","8","5","7","8","6","7","7","8","9","8","6","7","6","8","8","8","6","Yes"
"2020/07/07 5:08:04 PM GMT+2","5","7","5","6","7","7","8","8","9","9","7","6","7","7","7","8","7","5","No"
"2020/07/07 5:08:51 PM GMT+2","5","10","5","6","9","10","10","9","10","10","9","8","10","8","9","9","10","9","No"
"2020/07/07 5:08:52 PM GMT+2","6","8","7","7","8","8","8","8","9","10","8","7","8","8","9","8","9","6","No"
"2020/07/07 5:09:00 PM GMT+2","1","7","5","6","6","7","8","8","10","10","10","4","6","6","9","9","9","3","No"
"2020/07/07 5:09:11 PM GMT+2","6","7","6","7","8","8","8","8","9","9","9","6","7","7","8","9","9","5","Yes"
"2020/07/07 5:09:17 PM GMT+2","7","9","6","6","7","8","7","7","8","9","8","6","7","6","8","8","9","6","Yes"
"2020/07/07 5:10:02 PM GMT+2","6","6","4","6","7","7","7","7","9","9","8","3","7","6","7","7","5","6","No"
"2020/07/07 5:10:14 PM GMT+2","7","8","7","8","9","8","9","8","10","10","9","7","9","7","10","9","10","5","No"
"2020/07/07 5:10:48 PM GMT+2","6","8","6","8","8","7","8","8","8","9","8","7","7","6","8","8","9","6","Yes"
"2020/07/07 5:11:01 PM GMT+2","5","7","5","6","7","7","8","8","10","10","9","5","7","6","8","10","9","6",""
"2020/07/07 5:11:07 PM GMT+2","6","8","5","7","8","7","8","8","9","10","8","6","7","6","9","8","9","6","No"
"2020/07/07 5:11:31 PM GMT+2","5","7","6","6","8","7","8","7","9","8","7","6","7","7","8","9","9","6","No"
"2020/07/07 5:11:40 PM GMT+2","6","8","6","7","7","7","9","7","9","10","9","6","8","7","9","9","9","5","Yes"
"2020/07/07 5:11:45 PM GMT+2","5","6","6","6","7","7","7","7","9","9","8","6","6","6","7","7","7","4","No"
"2020/07/07 5:11:53 PM GMT+2","6","8","6","6","8","8","8","7","9","10","8","2","7","6","7","8","6","4","Yes"
"2020/07/07 5:12:51 PM GMT+2","2","5","2","4","7","8","9","7","10","10","9","3","7","4","8","9","9","6","No"
"2020/07/07 5:12:56 PM GMT+2","4","7","5","5","7","7","8","7","9","9","7","4","7","3","8","8","10","5","Yes"
"2020/07/07 5:12:56 PM GMT+2","5","6","5","6","8","8","6","7","7","10","7","8","5","6","8","8","10","3","No"
"2020/07/07 5:13:06 PM GMT+2","5","9","5","7","9","9","9","7","9","9","9","7","5","5","9","9","9","5","Yes"
"2020/07/07 5:13:27 PM GMT+2","7","8","7","8","9","9","8","8","10","10","8","7","7","6","9","9","9","6","No"
"2020/07/07 5:13:35 PM GMT+2","6","8","3","8","8","9","8","10","10","10","10","5","6","7","8","10","9","3","No"
"2020/07/07 5:13:44 PM GMT+2","4","6","5","6","6","6","7","7","9","9","7","5","6","6","8","8","8","6","Yes"
"2020/07/07 5:14:02 PM GMT+2","6","6","7","6","8","8","8","9","9","9","8","6","6","5","8","10","9","6","Yes"
"2020/07/07 5:14:20 PM GMT+2","6","8","7","7","8","8","8","8","9","10","8","7","7","7","9","9","10","7","No"
"2020/07/07 5:14:24 PM GMT+2","5","8","5","6","8","6","9","8","9","10","9","6","6","7","9","8","8","7","Yes"
"2020/07/07 5:14:42 PM GMT+2","6","7","6","7","8","8","8","8","8","9","8","7","7","7","9","10","10","6","Yes"
"2020/07/07 5:14:46 PM GMT+2","5","8","6","7","8","7","8","8","10","10","8","5","7","6","9","9","10","5","No"
"2020/07/07 5:14:55 PM GMT+2","5","8","6","8","8","7","7","7","9","9","7","6","7","7","9","9","10","3","No"
"2020/07/07 5:14:57 PM GMT+2","3","5","1","7","8","8","9","6","10","10","9","5","5","3","9","9","8","5","No"
"2020/07/07 5:15:41 PM GMT+2","8","8","6","6","8","9","9","9","9","10","9","6","6","6","8","10","9","8","No"
"2020/07/07 5:16:43 PM GMT+2","6","8","7","7","9","9","8","8","10","10","8","6","8","7","8","9","10","8","No"
"2020/07/07 5:16:49 PM GMT+2","4","7","3","6","7","6","7","8","9","9","8","4","7","7","8","9","10","4","No"
"2020/07/07 5:16:59 PM GMT+2","5","7","6","7","7","8","8","7","9","9","8","5","6","6","8","10","10","5","No"
"2020/07/07 5:17:02 PM GMT+2","3","7","7","5","8","8","9","8","10","10","8","3","6","6","8","8","9","7","Yes"
"2020/07/07 5:17:23 PM GMT+2","5","7","4","7","7","7","8","7","9","9","8","10","7","7","9","10","10","6","No"
"2020/07/07 5:17:30 PM GMT+2","6","7","6","9","8","7","8","7","9","10","9","5","7","7","9","9","9","6","Yes"
"2020/07/07 5:17:57 PM GMT+2","6","7","4","9","9","9","8","8","9","10","9","7","9","8","8","9","10","8","No"
"2020/07/07 5:18:02 PM GMT+2","1","7","5","7","7","6","8","8","10","10","9","6","7","7","8","8","9","6","Yes"
"2020/07/07 5:18:18 PM GMT+2","5","7","5","8","7","6","8","8","9","10","9","7","7","7","8","8","8","4","Yes"
"2020/07/07 5:18:21 PM GMT+2","4","7","4","8","7","8","8","6","9","9","8","7","8","8","8","7","9","5","Yes"
"2020/07/07 5:19:12 PM GMT+2","6","8","6","7","8","8","8","8","9","10","7","6","7","7","8","10","7","4","No"
"2020/07/07 5:20:01 PM GMT+2","5","8","5","6","7","8","8","7","9","10","9","","7","6","9","9","9","1","No"
"2020/07/07 5:21:12 PM GMT+2","6","7","6","7","8","7","7","7","10","10","8","6","7","7","9","8","9","6","Yes"
"2020/07/07 5:21:23 PM GMT+2","5","7","4","6","7","5","8","8","9","10","8","6","7","6","7","9","7","7","No"
"2020/07/07 5:21:32 PM GMT+2","7","9","7","7","8","8","8","8","9","9","8","7","7","7","8","8","8","2","No"
"2020/07/07 5:21:35 PM GMT+2","6","8","5","8","8","8","8","6","9","10","8","4","7","7","9","10","10","1","No"
"2020/07/07 5:21:54 PM GMT+2","6","7","8","6","7","7","7","7","9","10","8","6","7","6","8","9","9","4","Yes"
"2020/07/07 5:22:40 PM GMT+2","5","8","6","7","6","7","8","7","8","9","7","6","7","7","8","9","10","6","Yes"
"2020/07/07 5:22:45 PM GMT+2","4","8","8","9","9","8","9","8","10","10","9","7","7","7","8","9","9","7","No"
"2020/07/07 5:23:36 PM GMT+2","5","7","6","7","7","7","9","7","9","9","8","7","7","6","8","7","8","4","No"
"2020/07/07 5:23:37 PM GMT+2","5","6","4","5","6","6","8","7","8","8","6","4","6","6","10","10","10","5","Yes"
"2020/07/07 5:24:04 PM GMT+2","6","7","6","7","8","9","8","7","10","10","8","6","6","6","9","9","9","4","No"
"2020/07/07 5:24:06 PM GMT+2","6","7","6","8","8","7","8","7","9","9","9","7","8","7","9","8","9","6","Yes"
"2020/07/07 5:24:07 PM GMT+2","5","7","5","6","7","5","7","6","8","9","6","5","","","7","6","6","8","No"
"2020/07/07 5:24:25 PM GMT+2","6","7","5","6","6","7","8","7","9","10","8","6","6","6","7","7","8","6","No"
"2020/07/07 5:24:39 PM GMT+2","5","8","6","7","9","9","9","8","9","10","8","7","8","8","8","9","9","6","No"
"2020/07/07 5:24:51 PM GMT+2","4","6","3","4","5","5","7","7","8","10","8","6","7","6","8","8","9","4","No"
"2020/07/07 5:24:55 PM GMT+2","5","6","5","7","7","8","7","6","9","10","7","4","5","5","7","7","8","6","Yes"
"2020/07/07 5:25:09 PM GMT+2","7","8","7","8","8","9","8","8","9","9","8","7","6","6","9","9","9","6","No"
"2020/07/07 5:25:38 PM GMT+2","3","7","3","7","7","5","7","7","8","9","8","6","6","6","7","9","7","8","Yes"
"2020/07/07 5:25:41 PM GMT+2","6","7","6","7","7","7","7","6","9","9","7","6","6","5","8","8","9","2","No"
"2020/07/07 5:25:53 PM GMT+2","6","7","5","6","7","7","8","7","9","9","8","6","7","6","8","9","9","7","Yes"
"2020/07/07 5:25:56 PM GMT+2","7","9","5","7","8","8","8","7","9","10","8","7","7","6","7","7","10","6","No"
"2020/07/07 5:26:09 PM GMT+2","6","8","7","8","9","8","9","9","9","10","9","7","7","7","9","10","9","7","Yes"
"2020/07/07 5:26:22 PM GMT+2","6","7","7","8","7","6","8","7","9","10","8","7","8","7","8","9","9","5","No"
