"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 1:11:38 PM GMT+1","8","6","8","7","6","8","5","7","7","9","9","8","8","8","4","Yes"
"2019/10/21 1:12:23 PM GMT+1","7","7","7","7","7","8","8","8","8","8","8","8","7","8","6","Yes"
"2019/10/21 1:12:34 PM GMT+1","8","6","7","7","6","8","6","7","7","8","8","8","4","9","6","Yes"
"2019/10/21 1:12:38 PM GMT+1","7","8","8","6","7","7","6","8","9","8","9","9","8","8","2","Yes"
"2019/10/21 1:12:52 PM GMT+1","5","6","7","7","6","7","6","7","8","8","8","7","7","8","6","Yes"
"2019/10/21 1:13:11 PM GMT+1","7","7","7","8","6","8","8","7","6","9","10","8","7","8","6","No"
"2019/10/21 1:13:24 PM GMT+1","6","5","6","4","3","5","5","5","6","7","7","6","5","5","2","No"
"2019/10/21 1:13:41 PM GMT+1","7","2","8","8","5","9","6","7","6","8","7","7","2","8","5","Yes"
"2019/10/21 1:13:58 PM GMT+1","7","6","7","6","6","7","6","7","7","8","7","8","3","4","4","Yes"
"2019/10/21 1:14:09 PM GMT+1","7","5","7","6","4","7","6","7","8","8","9","8","6","8","3","Yes"
"2019/10/21 1:14:16 PM GMT+1","7","6","7","6","6","7","6","7","9","8","8","7","5","6","5","No"
"2019/10/21 1:14:40 PM GMT+1","7","7","8","6","8","8","7","7","8","9","9","8","6","8","2","Yes"
"2019/10/21 1:14:46 PM GMT+1","7","6","6","6","6","6","7","6","7","7","8","8","6","6","4","Yes"
"2019/10/21 1:14:52 PM GMT+1","6","2","7","5","6","7","8","7","8","8","10","7","7","6","1","Yes"
"2019/10/21 1:14:54 PM GMT+1","7","6","7","6","6","6","6","6","7","8","8","8","6","8","4","Yes"
"2019/10/21 1:15:04 PM GMT+1","7","6","7","6","6","7","6","7","8","7","8","7","7","6","1","Yes"
"2019/10/21 1:15:15 PM GMT+1","8","7","7","6","6","8","5","8","9","9","7","8","7","8","5","Yes"
"2019/10/21 1:15:31 PM GMT+1","6","5","6","6","5","6","6","7","6","7","8","7","6","6","5","Yes"
"2019/10/21 1:15:38 PM GMT+1","6","5","6","6","6","7","5","7","7","8","8","8","7","7","4","Yes"
"2019/10/21 1:15:58 PM GMT+1","6","5","6","6","3","6","6","6","6","7","2","6","6","5","4","No"
"2019/10/21 1:16:29 PM GMT+1","7","4","7","5","5","6","6","7","7","8","8","7","5","7","4","Yes"
"2019/10/21 1:16:37 PM GMT+1","7","6","6","7","6","9","6","7","7","5","5","7","4","8","5","Yes"
"2019/10/21 1:16:37 PM GMT+1","6","5","6","6","5","6","6","3","3","6","3","5","6","5","5","No"
"2019/10/21 1:17:37 PM GMT+1","8","7","9","7","7","9","9","8","8","9","9","9","8","7","5","Yes"
"2019/10/21 1:17:57 PM GMT+1","5","5","6","5","6","7","6","4","7","7","6","6","7","8","5",""
"2019/10/21 1:17:58 PM GMT+1","7","6","7","7","7","8","6","8","8","8","9","7","6","7","5","Yes"
"2019/10/21 1:18:04 PM GMT+1","7","5","9","7","5","10","7","7","6","8","8","7","7","6","4","Yes"
"2019/10/21 1:18:30 PM GMT+1","10","6","8","8","7","8","9","8","7","10","10","8","5","7","4","Yes"
"2019/10/21 1:18:57 PM GMT+1","6","4","2","4","4","7","5","5","5","7","5","5","10","5","8","No"
"2019/10/21 1:20:01 PM GMT+1","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","No"
"2019/10/21 1:20:16 PM GMT+1","6","6","6","7","7","7","6","6","7","7","9","8","6","6","5","Yes"
"2019/10/21 1:20:21 PM GMT+1","7","6","8","8","6","7","5","5","6","7","9","8","7","8","4","Yes"
"2019/10/21 1:21:16 PM GMT+1","7","5","7","6","4","8","7","7","8","7","7","8","7","7","4","Yes"
