"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Pereira","Daniel James","Bruno Fernandes ❤️ ","Mata","Martial","Greenwood (optional)","Team Performance","Final Result","Ole","Wolves","Did the ref/VAR do a good job?"
"2020/02/03 9:12:04 PM GMT+1","7","6","6","7","7","7","4","6","8","7","6","6","5","7","6","8","No"
"2020/02/03 9:12:30 PM GMT+1","8","9","8","8","8","9","1","6","10","7","4","8","5","5","9","6","No"
"2020/02/03 9:12:32 PM GMT+1","6","6","7","6","5","6","3","3","6","4","4","5","5","4","4","5","Yes"
"2020/02/03 9:12:38 PM GMT+1","8","8","7","7","9","6","3","5","9","8","1","5","6","7","7","8","No"
"2020/02/03 9:12:54 PM GMT+1","10","7","8","7","10","6","6","4","9","7","1","","3","1","4","4","Yes"
"2020/02/03 9:16:22 PM GMT+1","8","7","8","6","7","8","3","4","7","8","4","6","5","5","5","6","No"
"2020/02/03 9:18:41 PM GMT+1","7","8","8","6","7","7","4","4","7","5","3","","5","5","5","4","No"
"2020/02/03 9:19:05 PM GMT+1","7","6","7","7","6","7","2","4","6","5","4","5","3","4","1","5","Yes"
"2020/02/03 9:19:08 PM GMT+1","8","7","8","6","8","8","2","5","8","7","5","","6","4","5","5","Yes"
"2020/02/03 9:20:37 PM GMT+1","7","7","7","7","7","7","4","2","7","5","5","","5","5","6","5","No"
"2020/02/03 9:22:00 PM GMT+1","7","4","7","7","8","6","2","2","9","6","4","4","3","2","4","6","No"
"2020/02/03 9:22:50 PM GMT+1","7","7","7","7","7","7","7","7","9","7","7","7","6","6","6","8","No"
"2020/02/03 9:23:22 PM GMT+1","9","9","9","8","8","8","2","3","7","7","4","5","6","6","5","4","Yes"
"2020/02/03 9:23:38 PM GMT+1","8","7","7","7","7","7","4","5","7","6","5","5","5","5","6","7","Yes"
"2020/02/03 9:26:29 PM GMT+1","8","6","7","7","7","8","2","2","9","5","7","4","5","3","3","7","Yes"
"2020/02/03 9:28:30 PM GMT+1","6","8","7","7","9","9","1","5","8","7","4","4","5","3","5","8","Yes"
"2020/02/03 9:28:48 PM GMT+1","8","9","8","7","9","8","3","2","7","6","4","4","5","2","4","4","Yes"
"2020/02/03 9:30:18 PM GMT+1","7","6","6","6","8","7","3","3","7","7","4","6","4","2","2","5","Yes"
"2020/02/03 9:32:03 PM GMT+1","7","7","7","6","5","7","4","6","10","7","7","","5","5","6","6","No"
"2020/02/03 9:32:17 PM GMT+1","7","6","8","7","7","7","3","4","8","6","5","5","6","4","5","4","Yes"
"2020/02/03 9:32:41 PM GMT+1","6","5","6","6","6","6","1","3","9","6","4","5","4","4","3","5","Yes"
"2020/02/03 9:33:04 PM GMT+1","7","6","6","6","5","5","2","4","7","6","4","","4","5","4","6","No"
